id,Delta,R0,i0
6002,17.0,1.9878856182360352,4230.0
6003,18.0,1.9903302410041512,6076.0
6004,14.0,1.9953328419203291,5294.0
6005,14.0,1.9773711319628653,4548.0
6006,17.0,1.9354822094933786,7436.0
6007,16.0,1.9106844001499534,5709.0
6008,14.0,1.945786747438086,4420.0
6009,19.0,1.974121640051918,4340.0
6010,15.0,1.942693805127014,5923.0
6011,14.0,1.9036974995889981,6440.0
6012,9.0,2.3271260807778904,908.0
6013,16.0,2.076219103356805,2428.0
6014,11.0,2.0713092451374293,2995.0
6015,16.0,1.8961187623949127,6160.0
6016,17.0,1.8997779593514068,5967.0
6017,17.0,2.08836782127034,4049.0
6018,12.0,2.379176510290111,908.0
6019,14.0,1.9545198429074657,7135.0
6020,15.0,1.9212268841751232,7385.0
6021,13.0,2.304959399658141,1502.0
6022,15.0,2.045738276987188,4004.0
6023,17.0,1.9407084242011146,4230.0
6024,12.0,2.075211389275649,2597.0
6025,15.0,1.9067569272544085,5053.0
6026,16.0,1.9280783338961716,5859.0
6027,15.0,2.305540341436869,908.0
6028,15.0,1.988061867065774,5461.0
6029,13.0,1.9535921448983906,4878.0
6030,13.0,1.9152220562294733,5454.0
6031,17.0,1.9654296288797484,6411.0
6032,15.0,2.0058014442142444,4584.0
6033,16.0,2.0781509984298774,2988.0
6034,15.0,1.8866145059551507,7529.0
6035,14.0,2.1250812440922773,3309.0
6036,19.0,2.066583821589131,3040.0
6037,14.0,1.8737617366263208,7782.0
6038,17.0,1.938628825970416,6104.0
6039,18.0,1.9786423900148224,3830.0
6040,18.0,2.0092764860009606,4802.0
6041,16.0,2.0839808878384565,3140.0
6042,15.0,1.8107573816223757,8306.0
6043,14.0,2.0466300265486117,4346.0
6044,15.0,1.94938969074278,7268.0
6045,16.0,1.9620505152539294,6905.0
6046,17.0,2.0913557207169338,3329.0
6047,18.0,2.0039960901070826,4507.0
6048,14.0,2.2945299411426197,1480.0
6049,19.0,1.9181868994024858,6977.0
6050,16.0,1.943151439886496,6579.0
6051,20.0,1.951182260569421,4107.0
6052,18.0,1.7856095958964266,9181.0
6053,18.0,1.9496117828639654,6867.0
6054,16.0,2.1413108714867977,2067.0
6055,19.0,1.825108497034803,9996.0
6056,18.0,1.9461145070753878,4453.0
6057,15.0,2.371158815116226,729.0
6058,17.0,1.9059898377357352,5556.0
6059,20.0,1.9082812844081087,5709.0
6060,17.0,2.1025601631815913,3709.0
6061,17.0,2.0405703064553387,4524.0
6062,19.0,1.9238076884515718,4878.0
6063,17.0,1.9402991594486951,6701.0
6064,17.0,1.9194232427699627,7488.0
6065,14.0,1.8709424108408343,6419.0
6066,17.0,1.9303315256241538,6957.0
6067,18.0,2.0139376425209234,4878.0
6068,13.0,2.1958060068588776,1448.0
6069,13.0,2.4509387266661506,908.0
6070,15.0,2.012813214675889,4230.0
6071,15.0,1.851043400249325,6455.0
6072,14.0,1.9535731110376426,6352.0
6073,18.0,1.8615435555729805,6611.0
6074,19.0,1.8498288090717327,9181.0
6075,17.0,1.7801668296762314,9834.0
6076,16.0,2.0447791500343744,2867.0
6077,8.0,2.3818514351336684,729.0
6078,16.0,1.8809677719908446,8655.0
6079,20.0,1.8111939869063745,9384.0
6080,19.0,1.8929216391722112,7815.0
6081,13.0,2.3616848447146546,1483.0
6082,18.0,1.9216122336513917,8108.0
6083,20.0,1.8503025454398991,7090.0
6084,15.0,2.031726239270095,4605.0
6085,16.0,1.9071032073582963,6455.0
6086,16.0,1.8999134098325199,9676.0
6087,16.0,2.3146236759603047,1363.0
6088,19.0,1.9039579014072456,6482.0
6089,16.0,1.8587884620116408,8850.0
6090,13.0,2.0518648407301496,3637.0
6091,17.0,1.8991596190789661,6334.0
6092,11.0,2.3645336868638474,908.0
6093,13.0,2.0822441805896426,2622.0
6094,16.0,1.8871259689249653,9478.0
6095,14.0,2.085802438927178,2241.0
6096,16.0,1.8389274144317467,7385.0
6097,18.0,1.871154940280194,8166.0
6098,15.0,2.009631960449775,3978.0
6099,19.0,1.8983988239217553,6664.0
6100,20.0,1.924137640135139,5635.0
6101,14.0,1.8718022831066958,8020.0
6102,16.0,1.9717800203142954,4637.0
6103,17.0,1.8317139765458799,8211.0
6104,12.0,2.352415760848441,729.0
6105,13.0,1.8688180241769659,6455.0
6106,16.0,1.9609927031721923,4352.0
6107,19.0,1.8707114058939878,6948.0
6108,14.0,1.8782921777827928,9181.0
6109,15.0,2.101226197753073,3623.0
6110,13.0,2.023430122315794,4791.0
6111,16.0,2.197268009666783,1480.0
6112,14.0,1.8635647603689247,6618.0
6113,12.0,2.015441813960323,3287.0
6114,17.0,2.3465733706520755,908.0
6115,14.0,2.1407923963297,3311.0
6116,17.0,1.8688624127287439,9437.0
6117,17.0,2.108386287377794,2241.0
6118,13.0,2.1650046060880612,3190.0
6119,16.0,1.8180779064200498,9416.0
6120,18.0,1.8739550085676553,7131.0
6121,17.0,2.1494327266612037,2067.0
6122,12.0,2.211017822889722,2241.0
6123,14.0,1.8208372401988353,7798.0
6124,19.0,1.8494855624790318,7693.0
6125,20.0,1.8776951408644829,7335.0
6126,18.0,2.000458784767009,5507.0
6127,14.0,1.8594340382940375,6003.0
6128,12.0,2.2281038846631738,1372.0
6129,18.0,1.8762489725645914,8387.0
6130,9.0,2.358184180252034,908.0
6131,17.0,2.1051412303123005,2775.0
6132,13.0,2.4087573975853376,908.0
6133,12.0,2.2374859183286344,2067.0
6134,14.0,2.04817728873038,5002.0
6135,14.0,1.9821432055935644,5175.0
6136,18.0,1.8515964981336699,7256.0
6137,15.0,2.018467304921156,5371.0
6138,11.0,2.3560183248134376,908.0
6139,18.0,1.9507393323706927,5927.0
6140,17.0,1.8605957974011422,8118.0
6141,15.0,1.8678614173586292,7990.0
6142,15.0,2.125730575104015,3852.0
6143,13.0,1.9929175419146987,5057.0
6144,18.0,1.921190534186679,5736.0
6145,12.0,2.248416655062836,1643.0
6146,17.0,1.9351819284070952,6482.0
6147,16.0,2.3430728497957745,729.0
6148,17.0,1.9661426504984063,7578.0
6149,14.0,1.9142086534895708,7267.0
6150,15.0,1.8694721769229472,8615.0
6151,18.0,1.8912805736186948,6482.0
6152,19.0,1.8327648568625965,9416.0
6153,16.0,1.9146489907185327,6618.0
6154,19.0,1.8402904079889313,9303.0
6155,15.0,2.0964171589537233,2879.0
6156,18.0,1.9128822731015152,6690.0
6157,19.0,1.9550949757834242,5923.0
6158,15.0,1.8587148597229877,8063.0
6159,17.0,1.9858691381538853,3637.0
6160,13.0,2.0674368698882213,2521.0
6161,13.0,2.2523606503835913,1634.0
6162,15.0,2.3192134648477785,908.0
6163,15.0,1.8821682050868629,6568.0
6164,14.0,1.8408347306619255,9370.0
6165,15.0,2.3126604445736296,1423.0
6166,19.0,2.054110368895832,3290.0
6167,18.0,1.8649209219235061,6957.0
6168,13.0,2.3419171495414055,729.0
6169,12.0,2.0830735698270146,3090.0
6170,17.0,2.046713883122969,4637.0
6171,19.0,1.8292619425257977,7867.0
6172,14.0,2.0356423788513935,3695.0
6173,16.0,2.270634661248179,1423.0
6174,20.0,1.9413125037765075,4889.0
6175,17.0,2.119110140453107,2451.0
6176,13.0,2.009456897012928,3272.0
6177,16.0,1.9993652074697326,5785.0
6178,14.0,2.000422977482986,6417.0
6179,14.0,2.0384067479545593,3669.0
6180,16.0,2.078970934930652,3868.0
6181,14.0,1.9008118046959281,6417.0
6182,20.0,1.9173653338563355,5391.0
6183,18.0,1.9564938922812614,4420.0
6184,15.0,1.8461604209580567,6892.0
6185,14.0,1.9893733053631317,5717.0
6186,16.0,2.318396321359161,908.0
6187,18.0,1.8047832932898245,9602.0
6188,17.0,1.9672014101910218,4346.0
6189,14.0,2.0526024117926305,3256.0
6190,17.0,1.9271823017181626,4791.0
6191,18.0,1.8862136523213995,6786.0
6192,16.0,1.8812502260997175,8691.0
6193,17.0,1.9433628599443318,7534.0
6194,19.0,1.8605672337839982,8218.0
6195,13.0,2.0747361475459,4298.0
6196,14.0,1.9526566733610022,4878.0
6197,13.0,2.344139746137046,908.0
6198,20.0,1.8614048495095927,6957.0
6199,16.0,1.9033050007271475,5385.0
6200,13.0,2.040874135853722,3497.0
6201,14.0,2.156379719068432,2547.0
6202,17.0,1.910413491126758,6701.0
6203,17.0,1.9430766068097929,6701.0
6204,16.0,2.1180766024340545,2879.0
6205,13.0,2.0795306781855167,3062.0
6206,19.0,1.8080355634474718,9473.0
6207,17.0,2.0727223310696297,3631.0
6208,16.0,2.08955200325494,4235.0
6209,15.0,2.2708246345168996,1480.0
6210,19.0,1.896465346663747,8352.0
6211,16.0,1.8804443962976707,6145.0
6212,15.0,2.0324280983093423,4895.0
6213,18.0,1.8719608961898893,6627.0
6214,19.0,1.9263333253149413,6438.0
6215,19.0,1.7994459099608335,8691.0
6216,13.0,1.9047409438225222,6352.0
6217,15.0,1.9087654552068274,7532.0
6218,13.0,1.9859089377779862,4071.0
6219,18.0,1.858815941826916,8905.0
6220,16.0,1.8499610403397224,9226.0
6221,15.0,1.955370395371995,4420.0
6222,9.0,2.3819165467431174,908.0
6223,17.0,2.140042675146942,2622.0
6224,12.0,2.439856461646308,908.0
6225,9.0,2.404334255040864,908.0
6226,15.0,1.9847339121191896,3511.0
6227,13.0,1.9675430555139424,3685.0
6228,17.0,1.8251164304349703,8228.0
6229,13.0,2.312195003411749,1542.0
6230,15.0,1.930801063002562,7793.0
6231,18.0,1.896369434859,5923.0
6232,16.0,2.0575670812676194,2905.0
6233,15.0,2.400834795293735,908.0
6234,14.0,2.1968486041279918,1977.0
6235,15.0,2.063762770077729,4801.0
6236,18.0,1.9766795610899472,5664.0
6237,15.0,1.8722228834386687,7135.0
6238,17.0,2.0057396008308532,3623.0
6239,15.0,1.7931841992918476,9011.0
6240,12.0,1.9565895775166307,4507.0
6241,12.0,2.1050723504290034,2428.0
6242,15.0,2.05258064750463,4200.0
6243,20.0,1.8473577168764577,7069.0
6244,15.0,2.1433300821983945,2241.0
6245,14.0,2.0311722938382477,3695.0
6246,15.0,1.88452637861217,5771.0
6247,19.0,1.8781464977681015,9871.0
6248,18.0,1.951839432124478,4893.0
6249,18.0,2.0434322829374025,4524.0
6250,13.0,2.36252482813413,1163.0
6251,15.0,1.9014006323178063,5356.0
6252,16.0,1.9766188993723786,5709.0
6253,16.0,2.0594159926554805,2879.0
6254,15.0,2.362519276508662,908.0
6255,17.0,2.020158747532005,4230.0
6256,14.0,2.369110141849061,908.0
6257,14.0,1.9281392921646938,4842.0
6258,14.0,1.9761338161462805,4511.0
6259,18.0,1.848252650234314,8540.0
6260,14.0,2.0438374711929184,3611.0
6261,20.0,1.8628248648766979,7382.0
6262,15.0,1.9855830839535968,6489.0
6263,13.0,1.9173711722237095,4927.0
6264,13.0,1.8858196679795045,6664.0
6265,19.0,1.9545439201948842,4551.0
6266,13.0,2.0140893360790693,4980.0
6267,17.0,1.7864885308276668,9508.0
6268,15.0,1.8089544340190211,8157.0
6269,9.0,2.427945296709538,908.0
6270,16.0,1.8591587074533427,7853.0
6271,13.0,2.3777428477604134,829.0
6272,18.0,1.9553868611016019,4584.0
6273,12.0,2.140197568962538,2702.0
6274,14.0,1.9669591531271984,6878.0
6275,16.0,1.854893257068258,7949.0
6276,19.0,1.951250260941143,4340.0
6277,18.0,1.8413797477732148,7701.0
6278,18.0,2.1791964369599715,1466.0
6279,17.0,1.8792197904353205,6668.0
6280,14.0,2.241438298234807,1737.0
6281,16.0,1.886631620624911,9676.0
6282,15.0,2.4266047778181385,908.0
6283,19.0,1.884142791628469,6836.0
6284,18.0,1.972629561953218,4312.0
6285,18.0,1.9932936021380183,5378.0
6286,15.0,1.8331319877398546,9071.0
6287,15.0,1.9614608716309678,4511.0
6288,15.0,2.0797632250466447,4637.0
6289,18.0,1.9443089113503216,5841.0
6290,15.0,1.8989700112776373,5938.0
6291,14.0,2.111056106071362,2995.0
6292,12.0,2.090156219020552,2637.0
6293,13.0,2.058229452120073,4160.0
6294,19.0,2.077205924340195,2903.0
6295,14.0,1.9591966915491053,6417.0
6296,12.0,2.0063124182430037,3727.0
6297,16.0,1.8646034649587937,6977.0
6298,17.0,1.7890540064610037,8691.0
6299,15.0,1.8536433709702678,7090.0
6300,13.0,2.111860836344484,2440.0
6301,14.0,2.118209516703023,1977.0
6302,19.0,1.9508889285410076,5556.0
