id,Delta,R0,i0
7002,18.0,1.6746243046660272,9247.0
7003,13.0,1.9966022850355496,1634.0
7004,18.0,1.629721528152219,8609.0
7005,19.0,1.7322338105038089,5035.0
7006,15.0,1.8190337234316474,3503.0
7007,17.0,1.8766940967513672,2314.0
7008,17.0,1.7185943585527035,5273.0
7009,15.0,1.7717753760384534,5442.0
7010,16.0,1.7678353818998547,5675.0
7011,15.0,2.0301909501720283,1730.0
7012,19.0,1.7632691027367253,4756.0
7013,11.0,2.2451579943767745,721.0
7014,14.0,1.8671774443639948,2863.0
7015,15.0,1.8819577589023748,2749.0
7016,19.0,1.8194809028785253,3608.0
7017,13.0,1.8564174577642285,2753.0
7018,14.0,1.998179395572745,1634.0
7019,14.0,1.9704290644035587,2825.0
7020,13.0,1.9174583652914896,2749.0
7021,16.0,1.8361111717941196,3736.0
7022,13.0,2.259149738706829,833.0
7023,13.0,1.8690253023461065,3275.0
7024,18.0,1.6621568120307697,8547.0
7025,13.0,2.0472611665591938,1634.0
7026,16.0,1.778435206465328,5356.0
7027,17.0,1.7912951811045537,4842.0
7028,17.0,1.7715725119072199,4305.0
7029,18.0,1.8055701566227396,4901.0
7030,13.0,1.937052646631949,2610.0
7031,17.0,1.7006349658805169,7331.0
7032,20.0,1.6500656980060724,7576.0
7033,14.0,1.7733366383494698,5115.0
7034,18.0,1.7510563151490324,6752.0
7035,18.0,1.6556963521287298,7882.0
7036,17.0,1.6583577490138328,6974.0
7037,18.0,1.6700383376209875,8609.0
7038,18.0,1.6579604139733226,6516.0
7039,16.0,1.8662251301350405,3205.0
7040,13.0,1.9065156520167756,2719.0
7041,18.0,1.7005743631811652,6811.0
7042,17.0,1.6624623136705765,7712.0
7043,19.0,1.730998272842336,6517.0
7044,15.0,1.8459230558124347,3842.0
7045,19.0,1.8018548488268165,4308.0
7046,18.0,1.944792429327285,2207.0
7047,17.0,1.6623025226094932,8534.0
7048,17.0,1.7461735814655368,5985.0
7049,17.0,1.744066215438117,4610.0
7050,18.0,1.7576978485498842,4585.0
7051,17.0,1.6414476448126645,8324.0
7052,13.0,2.2165761804483957,977.0
7053,17.0,1.6892854634841246,6600.0
7054,19.0,1.6407227129655548,8963.0
7055,15.0,1.9939337828033556,1730.0
7056,17.0,1.8722878250868624,2498.0
7057,18.0,1.9541729247247854,1730.0
7058,16.0,1.7036355978158753,6930.0
7059,13.0,2.138267521440014,926.0
