id,Delta,R0,i0
6002,18.0,1.669180644015713,4864.0
6003,17.0,1.8059883798513874,4177.0
6004,15.0,1.5769063547004132,7745.0
6005,19.0,1.604200528479181,7262.0
6006,17.0,1.5939294709815062,9290.0
6007,18.0,1.643577894187506,8292.0
6008,20.0,1.6497996729977071,6523.0
6009,18.0,1.7339312978664518,5892.0
6010,14.0,1.902995795484389,2672.0
6011,14.0,1.8967404030217347,2186.0
6012,19.0,1.8449039117283799,3003.0
6013,16.0,1.5512459640347525,8940.0
6014,17.0,1.6225699243616678,8799.0
6015,19.0,1.7671792082717876,3516.0
6016,15.0,1.689785064575297,5450.0
6017,20.0,1.6224345915446117,7538.0
6018,17.0,1.7941625052794568,3437.0
6019,21.0,1.7045326170707704,4174.0
6020,20.0,1.5811756137835737,8990.0
6021,18.0,1.7211114723135854,5812.0
6022,14.0,1.688690341578207,4867.0
6023,18.0,1.6786181461158263,4752.0
6024,21.0,1.6467301303674762,6530.0
6025,14.0,1.758029118103229,4559.0
6026,16.0,1.5903110248908403,7318.0
6027,20.0,1.5972269324427653,9873.0
6028,18.0,1.7744960694385106,4230.0
6029,16.0,1.6849583268546233,5729.0
6030,16.0,1.658866951478156,5450.0
6031,16.0,1.623886972230503,8543.0
6032,20.0,1.6972238410975977,5518.0
6033,19.0,1.6313023558032045,7430.0
6034,20.0,1.6971379799820323,5056.0
6035,20.0,1.5906661828092883,8634.0
6036,18.0,1.9740246764403941,1525.0
6037,18.0,1.591903218065727,7078.0
6038,18.0,1.817569940873881,2485.0
6039,19.0,1.6073616770662142,7745.0
6040,16.0,1.667671489583593,4655.0
6041,17.0,1.620724968415892,6200.0
6042,19.0,1.7249556471909597,5490.0
6043,15.0,1.7763873515628346,3083.0
6044,16.0,1.960270332690892,2183.0
6045,14.0,1.8133538875303172,3209.0
6046,18.0,1.7523042221911902,4515.0
6047,17.0,1.835084396708531,2971.0
6048,15.0,1.6722259220965106,6190.0
6049,14.0,1.7391303884952987,4335.0
6050,17.0,1.6697032170776913,5201.0
6051,14.0,2.03986166657891,1045.0
6052,19.0,1.566425138826791,8042.0
6053,21.0,1.6528081337319305,4858.0
6054,15.0,1.7158561508307613,4864.0
6055,17.0,1.591324372125147,6429.0
6056,17.0,1.7794597806768755,3110.0
6057,21.0,1.6226487682500088,8085.0
6058,16.0,1.6628424671178748,5655.0
6059,20.0,1.6159085552422412,7852.0
6060,14.0,1.845403743571947,3687.0
6061,16.0,1.80023546812254,4232.0
6062,13.0,1.7452623891329813,4195.0
