id,Delta,R0,i0
7002,11.0,2.1294389814974686,854.0
7003,19.0,1.769188485090677,4298.0
7004,18.0,1.8166700897287018,3118.0
7005,19.0,1.7976995704423544,2731.0
7006,17.0,1.6141408693249615,6511.0
7007,16.0,2.0422028276428517,1187.0
7008,15.0,1.8585181855993647,2923.0
7009,20.0,1.7087834999216711,4969.0
7010,18.0,1.6830885846786336,6779.0
7011,18.0,1.588920269576707,7713.0
7012,14.0,1.8410579619979057,2751.0
7013,18.0,1.6374972867221853,5824.0
7014,16.0,1.745955042002753,3723.0
7015,15.0,1.6279089820677246,6449.0
7016,15.0,1.8076713405927298,3246.0
7017,17.0,1.8294892624806254,3118.0
7018,20.0,1.582425202657368,8347.0
7019,17.0,1.7518925203895885,3525.0
7020,17.0,1.5967705328672863,7886.0
7021,16.0,1.660140851752931,5442.0
7022,15.0,1.6256906491323972,6468.0
7023,21.0,1.6106271805742534,6158.0
7024,16.0,1.919513228448016,2145.0
7025,16.0,2.0921744440196735,854.0
7026,17.0,1.6617142483092149,6245.0
7027,18.0,1.5959153823572008,6592.0
7028,18.0,1.5366833389839796,9200.0
7029,19.0,1.6654982770545443,5872.0
7030,13.0,1.9189769086295134,2034.0
7031,19.0,1.589207859260401,7916.0
7032,17.0,1.751801580706894,4533.0
7033,19.0,1.6389134531032696,7713.0
7034,17.0,2.0441312346786225,892.0
7035,17.0,1.6789633280371712,5957.0
7036,15.0,1.78192603928457,4255.0
7037,17.0,2.0060041713292343,1187.0
7038,17.0,1.5781068048000728,7219.0
7039,19.0,1.6833024489982744,4624.0
7040,16.0,1.623795977579977,7979.0
7041,16.0,1.7563040141715203,4399.0
7042,17.0,1.7575706023035444,3079.0
7043,19.0,1.5213031852191354,9679.0
7044,19.0,1.832279594336019,2386.0
7045,18.0,1.7113391886252796,5454.0
7046,21.0,1.599037295664383,7239.0
7047,15.0,2.198458053795467,778.0
7048,14.0,1.8579210207521177,2566.0
7049,15.0,2.042593193508452,854.0
7050,11.0,2.0719903612773782,1069.0
7051,18.0,1.7250574374374332,3801.0
7052,19.0,1.7152223544299112,5254.0
7053,17.0,1.6199883396704822,8781.0
7054,19.0,1.7521300399793027,4043.0
7055,17.0,1.5589888325825667,9889.0
7056,17.0,1.622611847141293,6521.0
7057,18.0,1.638629791805513,5339.0
7058,18.0,1.5282239226500245,9889.0
7059,15.0,1.6766721350072757,5364.0
7060,18.0,1.6858019079505562,4802.0
7061,13.0,2.113203976680615,778.0
7062,15.0,1.687638720905511,5250.0
7063,17.0,1.8181537013414506,4108.0
7064,16.0,1.6325068881015468,7133.0
7065,17.0,1.5777124429510168,7649.0
7066,18.0,1.571168970583723,8268.0
7067,19.0,1.8590310924256213,2114.0
7068,16.0,1.9280922683791026,1443.0
7069,15.0,1.8405964095952128,2364.0
7070,16.0,1.7657791860251082,3295.0
7071,20.0,1.6522234550549988,5658.0
7072,17.0,1.9446389447758583,2145.0
7073,17.0,1.8201883144328361,3615.0
7074,20.0,1.5825176963922507,8151.0
7075,20.0,1.605476520849794,7381.0
7076,19.0,1.6481210126432655,5339.0
7077,18.0,1.5864329160405652,7859.0
7078,17.0,1.8343422039034378,3351.0
7079,16.0,1.5735507799800474,9217.0
7080,17.0,1.8104389427984264,2660.0
7081,18.0,1.6188043897771809,7092.0
7082,16.0,1.6319470946182904,5388.0
7083,19.0,1.582053267121095,8995.0
7084,19.0,1.747142090678602,4788.0
7085,15.0,1.8663871592874086,2236.0
7086,16.0,1.590702391847469,7713.0
7087,16.0,1.7127544818438376,4969.0
7088,17.0,1.6518049669111294,6592.0
7089,19.0,1.695711472107965,6096.0
7090,16.0,1.6599706360304776,5402.0
7091,22.0,1.5360333290197106,8960.0
7092,19.0,1.6653065722006775,5610.0
7093,16.0,1.6583019173660667,7008.0
7094,17.0,1.80944747801705,3866.0
7095,17.0,2.057215434712241,912.0
7096,20.0,1.8240731996223027,2527.0
7097,16.0,1.5769219639711691,8995.0
7098,20.0,1.6166631549813706,8737.0
7099,20.0,1.6127465875806264,6492.0
7100,17.0,1.7422402528828769,3313.0
7101,18.0,1.7285138170189414,3778.0
7102,17.0,1.640426384213275,7909.0
7103,18.0,1.7004873640959106,5194.0
7104,19.0,1.660966914379608,7132.0
7105,20.0,1.5466114731150078,8369.0
7106,18.0,1.8262879403967835,2615.0
7107,17.0,1.6823970501716088,5728.0
7108,17.0,1.7120769507765048,5911.0
7109,19.0,1.6297580900217852,7672.0
7110,17.0,1.7376848501650606,3570.0
7111,20.0,1.698720932581412,4835.0
7112,15.0,1.7537217552457751,4390.0
7113,16.0,1.7739412711767595,4279.0
7114,16.0,1.7237983286998317,4984.0
7115,15.0,1.688355463698389,4518.0
7116,19.0,1.7321145704275076,3949.0
7117,18.0,1.6514232572357503,5957.0
7118,16.0,1.923777668789,2159.0
7119,15.0,1.653690863367101,5578.0
7120,17.0,1.7075744703893778,5459.0
7121,20.0,1.5801347983765586,6792.0
7122,21.0,1.6083223537340199,6428.0
7123,12.0,1.853444440257404,2807.0
7124,16.0,1.7154259073358469,4051.0
7125,14.0,1.777055015529745,3833.0
7126,17.0,1.630258595106187,7795.0
7127,16.0,1.9635850129441956,1860.0
7128,18.0,1.6689244455163448,6468.0
7129,14.0,2.048063445819862,1385.0
7130,17.0,1.6730291627227223,5135.0
7131,21.0,1.6148189234402799,7600.0
7132,17.0,1.650293334801433,7378.0
7133,19.0,1.7629737381212898,3579.0
7134,13.0,1.7737446428405226,3119.0
7135,19.0,1.630504604060029,6400.0
7136,20.0,1.5354964953064152,8737.0
7137,15.0,1.6824816799664308,4990.0
7138,17.0,1.73672536805086,4983.0
7139,18.0,1.677329561333777,4898.0
7140,14.0,1.857743715059849,3042.0
7141,19.0,1.6532529063412533,7803.0
7142,18.0,1.5928352873455776,6674.0
7143,16.0,1.7129779358750745,5144.0
7144,15.0,2.037449849750826,892.0
7145,18.0,1.6133135683471724,7381.0
7146,19.0,1.5350231664274587,9671.0
7147,15.0,1.763038703052191,4456.0
7148,16.0,1.7745047095875097,3709.0
7149,19.0,1.6103208011526033,7610.0
7150,16.0,1.6592432105657902,6436.0
7151,11.0,2.087017887517448,854.0
7152,15.0,1.9011771171255338,2150.0
7153,16.0,1.8992277663501331,1550.0
7154,16.0,1.7438071688432393,5455.0
7155,19.0,1.5865144149305124,9479.0
7156,20.0,1.6729990228373222,5231.0
7157,17.0,1.6951902875337606,6158.0
7158,12.0,1.837731290802673,2566.0
7159,14.0,1.913993759375547,1940.0
7160,19.0,1.7148728361277656,5014.0
7161,18.0,1.7944935574775565,3939.0
7162,14.0,2.177933717181537,854.0
7163,21.0,1.5763424599439462,8442.0
7164,15.0,1.6041980060727372,7286.0
7165,17.0,1.5666318516568052,8819.0
7166,18.0,1.7606736074123845,4037.0
7167,19.0,1.5735862978060815,9589.0
7168,18.0,1.6445645158653057,6837.0
7169,18.0,1.8212841032225908,2903.0
7170,20.0,1.8447208534543353,2527.0
7171,18.0,1.5621278831660683,9889.0
7172,15.0,1.6935567623662133,4580.0
7173,20.0,1.6970709248089189,4269.0
7174,17.0,1.6496073948890384,5144.0
7175,11.0,2.089920286252637,854.0
7176,21.0,1.523286753273457,9134.0
7177,12.0,1.9788279452306066,1573.0
7178,18.0,1.655379315534624,4762.0
7179,22.0,1.5943338071669833,8195.0
7180,21.0,1.6000644470694403,6341.0
7181,16.0,1.6255465242319824,7272.0
7182,15.0,1.6900805418561997,5995.0
7183,14.0,1.8963265583504538,2751.0
7184,18.0,1.5866454585992713,7199.0
7185,15.0,1.7153134538741186,4983.0
7186,17.0,1.7314047719399672,4990.0
7187,16.0,1.6024707413993058,8195.0
7188,19.0,1.6788846198856595,4390.0
7189,15.0,1.5891509625123197,8117.0
7190,16.0,1.8702278519685678,2114.0
7191,14.0,1.7102535553305849,4269.0
7192,17.0,1.7728960744904687,4397.0
7193,19.0,1.6549618118876381,6239.0
7194,16.0,1.776507254792249,3042.0
7195,15.0,1.874243196244817,3185.0
7196,13.0,1.8717508913893872,2501.0
7197,15.0,1.672961721648462,6268.0
7198,16.0,1.7404744131785832,3297.0
7199,18.0,1.6628613439814217,6779.0
7200,18.0,1.6582424439007497,7502.0
7201,20.0,1.5622650409105285,8228.0
7202,20.0,1.6214768260172574,8068.0
7203,16.0,1.584019726977573,8280.0
7204,17.0,1.8092779770524685,3185.0
7205,16.0,1.6179359519902299,6049.0
7206,18.0,1.697494500919103,6498.0
7207,18.0,1.6993221131283816,5713.0
7208,17.0,1.6919588788734847,6449.0
7209,19.0,1.6303238776083167,5857.0
7210,19.0,1.7678402958048545,3313.0
7211,17.0,1.6809829437643182,6712.0
7212,15.0,2.041084251048477,1254.0
7213,17.0,1.5813338691570915,9603.0
7214,18.0,1.8050427210636264,3616.0
