id,Delta,R0,i0
5002,22.0,2.1588630847598775,7098.0
5003,22.0,2.1210924453634394,6252.0
5004,23.0,2.0743116843762213,8213.0
5005,21.0,2.262404973865844,4899.0
5006,15.0,2.239791646750014,4608.0
5007,23.0,2.1813798586339,6989.0
5008,23.0,2.1615706467497184,4176.0
5009,19.0,2.01526848227262,9309.0
5010,20.0,2.2334052080269062,5864.0
5011,17.0,2.115458035183439,6292.0
5012,18.0,2.2445337822755147,6350.0
5013,21.0,2.1057599994760006,8400.0
5014,22.0,2.100294559087082,8438.0
5015,17.0,2.100065762643408,9284.0
5016,20.0,2.3046870189988304,5757.0
5017,20.0,2.2881770320960677,2960.0
5018,21.0,2.1381078787926624,7310.0
5019,22.0,2.109155167675798,5252.0
5020,17.0,2.176458627340002,5990.0
5021,19.0,2.5241626289926145,2197.0
5022,17.0,2.3981657991443326,3316.0
5023,16.0,2.409373936189555,1205.0
5024,20.0,2.1900148521827423,4869.0
5025,17.0,2.3752068468056575,2722.0
5026,22.0,2.2016267573951995,3949.0
5027,15.0,2.303235249313059,2610.0
5028,23.0,2.1798842599022437,7005.0
5029,20.0,2.1599456837190023,8026.0
5030,15.0,2.216110718968643,4673.0
5031,24.0,2.0258364945293037,8222.0
5032,19.0,2.187954759063572,5801.0
5033,20.0,2.1665567873161327,5625.0
5034,21.0,2.258783533796021,3421.0
5035,22.0,2.20057251412603,4450.0
5036,21.0,2.1770633326361932,8188.0
5037,20.0,2.0997705693511013,9804.0
5038,15.0,2.320553113559966,3486.0
5039,21.0,1.9901541695070988,9035.0
5040,23.0,1.9932466400770055,8630.0
5041,21.0,2.0757138519139042,8107.0
5042,17.0,2.192212830867713,6011.0
5043,22.0,2.1571134931346223,4210.0
5044,21.0,2.250030390830258,2512.0
5045,18.0,2.218007588463104,4011.0
5046,19.0,2.1759028861226244,8168.0
5047,21.0,2.2285567856874047,4181.0
5048,23.0,2.065547816698339,7518.0
5049,17.0,2.2962453945481585,4087.0
5050,18.0,2.3374446348703946,3952.0
5051,19.0,2.435224403817114,3554.0
5052,18.0,2.4714026444218318,2830.0
5053,13.0,2.5223782407174875,1173.0
5054,23.0,2.059472950256859,9512.0
5055,16.0,2.159019708332434,5990.0
5056,19.0,2.340278930633675,2349.0
5057,20.0,2.384231558140759,3952.0
5058,21.0,2.200798859785342,6404.0
5059,18.0,2.50200182096117,1774.0
5060,20.0,2.189668842775584,4766.0
5061,20.0,2.1895706089932587,4621.0
5062,19.0,2.0890812396262524,5786.0
5063,17.0,2.4168518725212187,1447.0
5064,21.0,2.097306230855402,7732.0
5065,15.0,2.4901885284152594,1463.0
5066,21.0,2.2116538733289612,6851.0
5067,20.0,2.1766467673796184,5645.0
5068,19.0,2.57409131708567,1188.0
5069,18.0,2.444233657153521,1447.0
5070,22.0,2.106282433532311,8258.0
5071,19.0,2.368556315322429,1892.0
5072,20.0,2.138733662577634,6348.0
5073,20.0,2.2077498805059554,3931.0
5074,23.0,2.169208272476659,4186.0
5075,17.0,2.143651639189024,8053.0
5076,20.0,2.397624862644008,2395.0
5077,20.0,2.258124312341699,3952.0
5078,17.0,2.1630541474969416,6881.0
5079,19.0,2.138962020213784,5683.0
5080,15.0,2.439809019551308,1605.0
5081,20.0,2.147520672590143,6515.0
5082,17.0,2.1793890396272957,6478.0
5083,21.0,2.134565946743283,9548.0
5084,18.0,2.25018327653628,4608.0
5085,16.0,2.208320899049633,3261.0
5086,16.0,2.125012425367956,5851.0
5087,18.0,2.003016836477956,9464.0
5088,21.0,2.214330202632564,7140.0
5089,20.0,2.2067670110815403,6428.0
5090,20.0,2.242125930655049,3964.0
5091,15.0,2.25075933229708,3750.0
5092,21.0,2.262646945764812,5661.0
5093,20.0,2.2214439024230748,4507.0
5094,18.0,2.1614371370939676,6252.0
5095,18.0,2.1438341416121425,6614.0
5096,20.0,2.098884971197693,8188.0
5097,18.0,2.2390588981560975,3288.0
5098,19.0,2.5967337624364353,1188.0
5099,21.0,2.222960301423011,3234.0
5100,20.0,2.1709735213092953,4000.0
5101,20.0,2.003334753325751,8446.0
5102,19.0,2.142734971297244,5707.0
5103,17.0,2.3464479556523985,2520.0
5104,21.0,2.1971966343343774,5119.0
5105,22.0,2.3225384822154855,3145.0
5106,21.0,2.235323150038565,7420.0
5107,18.0,2.361074530869253,2565.0
5108,18.0,2.4688135440593832,2120.0
5109,23.0,2.1621456772791725,4656.0
5110,22.0,2.137215895126419,6976.0
5111,20.0,2.1386049912352556,4292.0
5112,17.0,2.473452059796013,1264.0
5113,14.0,2.5114547171698054,2197.0
5114,20.0,2.255932902849084,4148.0
5115,15.0,2.2993303306659767,3390.0
5116,16.0,2.1981737204956313,4459.0
5117,22.0,2.16668338897646,8107.0
5118,21.0,2.196878025796092,7676.0
5119,20.0,2.2175802726135325,6338.0
5120,16.0,2.1694088605597517,6252.0
5121,22.0,2.0997127391145196,9777.0
5122,17.0,2.176516677157494,5252.0
5123,21.0,2.233149195927614,5625.0
5124,18.0,2.2415519881007357,5089.0
5125,16.0,2.320792235710638,3487.0
5126,19.0,2.133900423457872,9748.0
5127,20.0,1.9972025782613472,9541.0
5128,19.0,2.2094668447141537,6519.0
5129,17.0,2.1835293923297128,7008.0
5130,17.0,2.327747204693534,2214.0
5131,19.0,2.0999781219167724,6527.0
5132,17.0,2.2959246031325558,3177.0
5133,17.0,2.1318602750438473,5988.0
5134,21.0,2.1444200648744,8250.0
5135,19.0,2.2435386402653577,3107.0
5136,19.0,2.2077936741500768,4419.0
5137,17.0,2.384383885514859,2270.0
5138,17.0,2.15563023632182,4934.0
5139,20.0,2.077119127485761,9112.0
5140,20.0,2.2166141693855943,4333.0
5141,18.0,2.1258970688631167,4774.0
5142,15.0,2.446877861970708,2097.0
5143,20.0,2.14478464664104,6870.0
5144,21.0,2.0645695075673323,9357.0
5145,20.0,2.1046549137767276,5990.0
5146,18.0,2.5557857595757736,1467.0
5147,17.0,2.137380514523283,7732.0
5148,18.0,2.4938209054378597,2120.0
5149,18.0,2.1874718498056596,4732.0
5150,20.0,2.359511984584931,4087.0
5151,15.0,2.476395994254081,1929.0
5152,21.0,2.2457782003386,6572.0
5153,17.0,2.1196607944908137,6252.0
5154,17.0,2.0733400300873788,7880.0
5155,23.0,2.1658383781694184,6356.0
5156,18.0,2.267109349111114,5346.0
5157,16.0,2.5507997811803205,1342.0
5158,16.0,2.2560608679018492,3108.0
5159,19.0,2.2382249412330113,4495.0
5160,18.0,2.0849990967205305,6530.0
5161,22.0,2.2075707373769333,5064.0
5162,18.0,2.100537495149035,8331.0
5163,16.0,2.3137464337153077,1845.0
5164,22.0,2.135929211200708,5683.0
5165,15.0,2.2153921057754427,3992.0
5166,18.0,2.0693284857314005,8877.0
5167,18.0,2.1518906897482646,8450.0
5168,20.0,2.082901214785253,6260.0
5169,18.0,2.0205461662371254,9293.0
5170,19.0,2.311816760009629,2652.0
5171,21.0,2.2268645974855503,7854.0
5172,20.0,2.079602728712299,5864.0
5173,19.0,2.2214058453968653,4450.0
5174,19.0,2.1750434436335557,3992.0
5175,21.0,2.258343569378733,5777.0
5176,21.0,2.21383096575836,8026.0
5177,15.0,2.506825035115885,1916.0
5178,19.0,2.1053799312653365,6774.0
5179,21.0,2.21223560884908,3845.0
5180,17.0,2.589200266797728,1233.0
5181,20.0,2.011623061058304,8959.0
5182,21.0,2.091590898928997,8445.0
5183,15.0,2.6261114626394684,964.0
5184,15.0,2.4825503871632213,982.0
5185,22.0,2.241597234905706,2908.0
5186,22.0,2.1041525818131266,6328.0
5187,16.0,2.126972150279022,6147.0
5188,20.0,2.140636722868031,6207.0
5189,20.0,2.3705249870896594,2693.0
5190,12.0,2.442361327604821,1766.0
5191,15.0,2.4718827919235475,976.0
5192,20.0,2.2941786825691395,2934.0
5193,21.0,2.2170283350419417,4788.0
5194,18.0,2.3486112100042984,4236.0
5195,17.0,2.6513010384811464,647.0
5196,16.0,2.122186369097073,6614.0
5197,18.0,2.1287080266441922,5954.0
5198,18.0,2.439994009799136,2224.0
5199,21.0,2.021080033789418,8990.0
5200,21.0,2.307297455306481,3574.0
5201,19.0,2.2542259157801845,4621.0
5202,16.0,2.1615747964074856,5464.0
5203,18.0,2.2054869323814974,6292.0
5204,17.0,2.151446195251322,8604.0
5205,20.0,2.3927385643041297,2671.0
5206,15.0,2.3112506298497744,3390.0
5207,17.0,2.076774881517978,6590.0
5208,17.0,2.3893758018431246,3107.0
5209,18.0,2.35838536236964,1769.0
5210,17.0,2.1094842437279673,7316.0
5211,18.0,2.167921349880245,7181.0
5212,21.0,2.279332711456062,4403.0
5213,21.0,2.1074288873476004,9603.0
5214,19.0,2.238613952074897,2853.0
5215,19.0,2.2748346450584616,3094.0
5216,12.0,2.49861332975891,1029.0
5217,20.0,2.1368731771972915,9244.0
5218,20.0,2.4415413337206013,2398.0
5219,18.0,2.420956025047711,2722.0
5220,16.0,2.2709642685329903,4181.0
5221,19.0,2.1227685806685606,7064.0
5222,18.0,2.4172225733430066,2188.0
5223,18.0,2.1535336151076527,4495.0
5224,21.0,2.1360947875730574,4869.0
5225,23.0,2.1765489108782683,6519.0
5226,21.0,2.2054212244785236,4173.0
5227,19.0,2.1422667574580445,5296.0
5228,20.0,2.1829432400447697,5489.0
5229,23.0,2.136168399008025,6395.0
5230,18.0,2.2068479805291905,4181.0
5231,20.0,2.2869386119555606,2972.0
5232,24.0,2.06247955345331,8400.0
5233,19.0,2.3503939258452533,2188.0
5234,16.0,2.171651927275721,4450.0
5235,22.0,2.271899879563206,4551.0
5236,16.0,2.4367313606162293,2197.0
5237,18.0,2.289779665636089,4001.0
5238,18.0,2.1644038058712196,6312.0
5239,21.0,2.1625326304247805,4181.0
5240,22.0,2.300139645306225,3211.0
5241,13.0,2.456452179114383,1108.0
5242,18.0,2.4993250874232964,1724.0
5243,18.0,2.1138796098317676,6261.0
5244,19.0,2.309413066057245,4621.0
5245,19.0,2.1995776042903974,4339.0
5246,16.0,2.2316430873325404,2752.0
5247,21.0,2.0783075552992463,6672.0
5248,18.0,2.3266557544037116,2996.0
5249,22.0,2.0828112128115768,7332.0
5250,23.0,2.090436687983637,6870.0
5251,17.0,2.233648185949723,5880.0
5252,21.0,2.2793988125022304,2925.0
5253,21.0,2.17716354235893,7339.0
5254,22.0,2.0564402598842477,8990.0
5255,12.0,2.7542497711750915,534.0
5256,17.0,2.1402874983405904,6432.0
5257,21.0,2.242736909403719,5515.0
5258,12.0,2.5972734741360823,715.0
5259,24.0,2.07808503289327,6017.0
5260,19.0,2.1315923114587663,8435.0
5261,16.0,2.228128289783456,4988.0
