id,Delta,R0,i0
6002,15.0,2.5269542897804596,1256.0
6003,21.0,2.1752532014541597,5504.0
6004,20.0,2.2400821145961856,5345.0
6005,18.0,2.220094519430533,4716.0
6006,19.0,2.119457789685167,5380.0
6007,20.0,2.218758124703743,4716.0
6008,19.0,2.2550035157265995,5540.0
6009,21.0,2.239390196361831,5273.0
6010,19.0,2.06493396222027,8639.0
6011,20.0,2.272394116245215,3483.0
6012,19.0,2.262312908022475,5044.0
6013,15.0,2.347209357392651,2248.0
6014,17.0,2.146141525640815,5196.0
6015,18.0,2.1926257438087595,4543.0
6016,22.0,2.1392091852122572,6236.0
6017,18.0,2.050996862789141,8171.0
6018,15.0,2.4513217536308165,1845.0
6019,18.0,2.2264747516259136,5274.0
6020,18.0,2.1215226219788397,5268.0
6021,18.0,2.1871904660420225,3933.0
6022,18.0,2.069425067132393,8171.0
6023,20.0,2.119171324493271,9086.0
6024,17.0,2.3493977953590175,3591.0
6025,21.0,2.280690672442768,3298.0
6026,20.0,2.3023542950656646,3591.0
6027,21.0,2.1241530654489527,8125.0
6028,21.0,2.2354737772778703,3247.0
6029,20.0,2.3674472572216585,2582.0
6030,18.0,2.0719528628465707,8364.0
6031,19.0,2.2583715350335987,2767.0
6032,16.0,2.19301289733653,4651.0
6033,20.0,2.024620918585124,8294.0
6034,18.0,2.1320751220370875,7810.0
6035,18.0,2.0752946549314,8662.0
6036,18.0,2.1148053259242316,6590.0
6037,20.0,2.289214960118664,3473.0
6038,17.0,2.1766945946222385,5767.0
6039,19.0,2.3879367798652735,1919.0
6040,19.0,2.050770735228214,9165.0
6041,17.0,2.4711895851284527,2347.0
6042,20.0,2.0600855954733577,9911.0
6043,17.0,2.2977828660904676,4422.0
6044,21.0,2.17714271879479,7951.0
6045,20.0,2.3819209109121444,2213.0
6046,20.0,2.3832415315261093,1895.0
6047,21.0,2.2384322378602812,3732.0
6048,19.0,2.1305421748936064,5796.0
6049,20.0,2.081084708350913,6414.0
6050,15.0,2.395605087201031,2922.0
6051,20.0,2.0331068364181335,9680.0
6052,22.0,2.0010837758353373,9165.0
6053,21.0,2.1286343355579365,5893.0
6054,18.0,2.438394225902411,2767.0
6055,17.0,2.2207572419872537,5380.0
6056,19.0,2.1562086663614393,5887.0
6057,16.0,2.181981460186522,5273.0
6058,18.0,2.3544658474148474,1957.0
6059,21.0,2.1420781033839194,8086.0
6060,21.0,2.022795805441475,8577.0
6061,20.0,2.1251262707051395,5559.0
6062,17.0,2.53313540544083,1895.0
6063,20.0,2.4247723477018797,2153.0
6064,18.0,2.2387053282370903,4235.0
6065,20.0,2.2224157500520088,4701.0
6066,18.0,2.260091298498431,4930.0
6067,21.0,2.1150951942190397,7968.0
6068,17.0,2.0716046438299363,7668.0
6069,19.0,2.2031947218036976,3261.0
6070,22.0,2.174234735984521,4566.0
6071,20.0,2.2560243203565067,4496.0
6072,20.0,2.284312555297345,4869.0
6073,19.0,2.0416154488444183,9500.0
6074,20.0,2.2588344605849664,4192.0
6075,21.0,2.256352799152319,4231.0
6076,17.0,2.177159018477912,5710.0
6077,16.0,2.2808407906322357,2429.0
6078,17.0,2.098184950695077,6616.0
6079,18.0,2.258245514294238,3914.0
6080,20.0,2.194904590556564,4276.0
6081,21.0,2.046636818941669,8056.0
6082,19.0,2.019604144895929,8507.0
6083,18.0,2.1768111297665644,5078.0
6084,21.0,2.2330196602389036,3483.0
6085,19.0,2.389636501460583,1701.0
6086,20.0,2.1299915734143924,4543.0
6087,19.0,2.0581448365267647,9304.0
6088,19.0,2.089493733759899,6333.0
6089,17.0,2.252341190529387,3751.0
6090,19.0,2.147784040356589,7618.0
6091,17.0,2.2929800771392403,2797.0
6092,18.0,2.1178072017485583,6229.0
6093,20.0,2.097913889929967,8799.0
6094,19.0,2.2161976062720345,4422.0
6095,20.0,2.3439146972194154,2260.0
6096,19.0,2.4185714227091637,2512.0
6097,16.0,2.361292724437357,2122.0
6098,17.0,2.23696542666307,3795.0
6099,20.0,2.272074983823042,2771.0
6100,21.0,2.18474510667567,4543.0
6101,15.0,2.4631239937963434,1565.0
6102,20.0,2.2111629019076537,5143.0
6103,21.0,2.0673566830432146,8596.0
6104,20.0,2.134797265782768,4750.0
6105,21.0,2.1464078664462494,4422.0
6106,19.0,2.383921305175206,3121.0
6107,19.0,2.304575371419991,2388.0
6108,22.0,2.1428084896899517,5879.0
6109,15.0,2.3693808505388327,1623.0
6110,20.0,2.1729157091840086,4231.0
6111,16.0,2.4964287032014196,1701.0
6112,19.0,2.318950072433845,4192.0
6113,17.0,2.141111827642766,6798.0
6114,19.0,2.1870860014818074,6767.0
6115,19.0,2.157997595951755,5529.0
6116,18.0,2.4146323707714004,2433.0
6117,17.0,2.195469369385478,4664.0
6118,19.0,2.0732084325638365,8907.0
6119,18.0,2.1168210389212376,5927.0
6120,19.0,2.083771942160359,9444.0
6121,19.0,2.0874413008050765,7053.0
6122,17.0,2.3694309194262813,1625.0
6123,19.0,2.1327402349810227,6904.0
6124,20.0,2.1936687885267343,4517.0
6125,20.0,2.101193134624756,9984.0
6126,16.0,2.35314220621669,2383.0
6127,19.0,2.2492166064808443,4096.0
6128,18.0,2.1521983485739,5882.0
6129,19.0,2.2799815509734835,2512.0
6130,18.0,2.4680428780559027,2402.0
6131,17.0,2.4127777698458366,1845.0
6132,18.0,2.3195017839868943,3890.0
6133,20.0,2.251135309355168,5499.0
6134,18.0,2.1614159108991795,6293.0
6135,21.0,2.146930873146893,7366.0
6136,20.0,2.3551988643545005,2023.0
6137,20.0,2.1730753997988765,6229.0
6138,15.0,2.5069197774881946,1701.0
6139,15.0,2.312493500192744,2557.0
6140,14.0,2.3805931203032356,2216.0
6141,20.0,2.3422708223154958,2922.0
6142,22.0,2.1201601437056077,8082.0
6143,21.0,2.0896632459362166,9773.0
6144,20.0,2.2620055143725195,4048.0
6145,18.0,2.240578665578414,4276.0
6146,17.0,2.3702765687870273,3309.0
6147,18.0,2.220267468533943,5427.0
6148,19.0,2.214594610146585,4108.0
6149,19.0,2.183496251801069,5611.0
6150,18.0,2.199832371844763,5887.0
6151,20.0,2.069482415817184,6575.0
6152,19.0,2.3088250603015696,2512.0
6153,20.0,2.0337105444154093,9731.0
6154,19.0,2.252024636618384,3114.0
