id,Delta,R0,i0
6002,20.0,2.3681880413461585,2571.0
6003,21.0,2.2881624916875496,4447.0
6004,19.0,2.177697065865116,7781.0
6005,22.0,2.1015201351225348,7827.0
6006,18.0,2.32014338924174,3161.0
6007,21.0,2.3478574962865593,2607.0
6008,17.0,2.2807997353784653,5367.0
6009,14.0,2.338966635396188,2392.0
6010,20.0,2.2651892427073705,5369.0
6011,16.0,2.2462880906775036,6033.0
6012,16.0,2.277766187692139,3660.0
6013,18.0,2.2223806570796474,7502.0
6014,22.0,2.2340275012348867,4073.0
6015,19.0,2.142980129611621,9190.0
6016,14.0,2.6365924824005633,620.0
6017,19.0,2.2306245533756712,4582.0
6018,17.0,2.3350069091042336,2523.0
6019,19.0,2.336255434738178,3093.0
6020,17.0,2.1346398131773787,7479.0
6021,21.0,2.181229174348251,8838.0
6022,17.0,2.2212874333109767,4816.0
6023,14.0,2.4336103940513305,2772.0
6024,18.0,2.124355530228873,8655.0
6025,16.0,2.6271336275658776,1171.0
6026,20.0,2.2002773626503522,5506.0
6027,18.0,2.1335864309354604,7955.0
6028,16.0,2.288925061555744,3396.0
6029,21.0,2.178998508616348,5116.0
6030,20.0,2.100613216161237,7462.0
6031,16.0,2.4503926053685543,1449.0
6032,19.0,2.331148789743633,5420.0
6033,19.0,2.18548524791788,7327.0
6034,17.0,2.266080669479772,6300.0
6035,16.0,2.2222647706584464,5471.0
6036,20.0,2.1566387055653005,9063.0
6037,21.0,2.3299668056278096,3496.0
6038,16.0,2.315336585265464,2772.0
6039,18.0,2.5528434425514437,2463.0
6040,22.0,2.068447476064387,9484.0
6041,12.0,2.494012942454067,1279.0
6042,20.0,2.3516204818126916,3312.0
6043,21.0,2.342446801521985,3954.0
6044,21.0,2.357657070045489,3052.0
6045,21.0,2.2374379044562267,4073.0
6046,20.0,2.320001042138996,3342.0
6047,18.0,2.1156393816848147,9726.0
6048,17.0,2.2874626082070852,5115.0
6049,17.0,2.4714072807445135,2463.0
6050,19.0,2.1468394547005087,6258.0
6051,17.0,2.2399118627317804,6258.0
6052,15.0,2.4114586532552673,3480.0
6053,20.0,2.2808104650390963,6398.0
6054,18.0,2.698783911703305,1171.0
6055,16.0,2.343412571809245,4055.0
6056,21.0,2.0883934744611916,7917.0
6057,19.0,2.2885891916283776,4048.0
6058,18.0,2.118021902055188,9876.0
6059,19.0,2.139352475114955,9003.0
6060,18.0,2.3431715496078227,4131.0
6061,20.0,2.241738283952165,5000.0
6062,20.0,2.262284587466607,4347.0
6063,16.0,2.6454040958942273,1651.0
6064,20.0,2.3868353845624406,3520.0
6065,19.0,2.1457636243244913,7451.0
6066,19.0,2.2018815335192627,8550.0
6067,22.0,2.18108047240318,7350.0
6068,21.0,2.144920366527783,6579.0
6069,20.0,2.191026859255207,5017.0
6070,21.0,2.1749051862278272,7284.0
6071,16.0,2.2456752606232278,5569.0
6072,22.0,2.1753578386507515,9270.0
6073,19.0,2.2629406289615015,5550.0
6074,20.0,2.2870951087012874,6287.0
6075,17.0,2.2317724090886757,6539.0
6076,16.0,2.3028477728524046,4868.0
6077,21.0,2.110091207128483,6881.0
6078,19.0,2.3296414460331625,3508.0
6079,18.0,2.556970375583777,1576.0
6080,19.0,2.2680844047888518,3168.0
6081,18.0,2.57364538122737,1171.0
6082,17.0,2.1484035485004633,6575.0
6083,16.0,2.3574528636504635,3396.0
6084,15.0,2.279551149074878,3770.0
6085,19.0,2.2255684046453887,6033.0
6086,20.0,2.275342890946054,6102.0
6087,15.0,2.2939162549079484,3312.0
6088,17.0,2.6389112133784813,889.0
6089,19.0,2.1234571331367937,9650.0
6090,21.0,2.291245213808649,4607.0
6091,17.0,2.3230709773949383,2716.0
6092,21.0,2.309698015551357,3527.0
6093,17.0,2.2225450550366386,6398.0
6094,18.0,2.0823869484576356,9179.0
6095,20.0,2.143509307201607,7917.0
6096,20.0,2.3245423812934107,3342.0
6097,14.0,2.3578194389339173,2410.0
6098,16.0,2.2483330169163716,5627.0
6099,18.0,2.300009514137585,6063.0
6100,22.0,2.0747297577793935,7916.0
6101,16.0,2.1850774454798376,5653.0
6102,17.0,2.178065011232845,5270.0
6103,22.0,2.1820353441230433,6999.0
6104,18.0,2.283518033024529,6143.0
6105,17.0,2.137580162478089,6940.0
6106,22.0,2.2218894881039706,6563.0
6107,12.0,2.7930662649802467,470.0
6108,17.0,2.162308584219905,7162.0
6109,21.0,2.147118015124336,9840.0
6110,19.0,2.1467088682787256,6086.0
6111,17.0,2.2853730432854062,5487.0
6112,20.0,2.2071023527049847,7294.0
6113,19.0,2.326537519116152,2859.0
6114,20.0,2.233625777476233,6451.0
6115,19.0,2.154197139569633,9687.0
6116,19.0,2.2022945304001666,6353.0
6117,19.0,2.231545488452423,7139.0
6118,22.0,2.1865654736935074,6102.0
6119,20.0,2.2899341563077398,4816.0
6120,19.0,2.138624350917619,8967.0
6121,20.0,2.239651453382063,3884.0
6122,13.0,2.573941631432035,1576.0
6123,21.0,2.281449807899017,5008.0
6124,17.0,2.1656954440844656,7679.0
6125,20.0,2.324941796320436,4262.0
6126,19.0,2.206307790665914,7823.0
6127,17.0,2.41944434402205,2693.0
6128,18.0,2.132304623550323,6881.0
6129,17.0,2.2655730542267474,4350.0
6130,22.0,2.1364355789868377,6020.0
6131,21.0,2.2493817965394243,6288.0
6132,22.0,2.1661852017396344,7496.0
6133,20.0,2.1075360823836093,9989.0
6134,19.0,2.232835967726422,3933.0
6135,21.0,2.2284163134481383,7615.0
6136,19.0,2.2860137669704996,3396.0
6137,20.0,2.178243342903689,8658.0
6138,15.0,2.2848179268256827,3527.0
6139,20.0,2.115000137792974,7330.0
6140,17.0,2.300678155146791,3884.0
6141,21.0,2.339662415231299,4001.0
6142,21.0,2.1580941728925485,9650.0
6143,22.0,2.207172238818259,7917.0
6144,17.0,2.343493339051842,2463.0
6145,21.0,2.2453807481266295,4871.0
6146,21.0,2.283176098038432,6402.0
6147,17.0,2.222762725748921,5049.0
6148,21.0,2.1847531712504105,4823.0
6149,17.0,2.126576309243182,8251.0
6150,20.0,2.2956345162997094,5261.0
6151,17.0,2.547211262080738,1111.0
6152,19.0,2.369826254222175,2004.0
6153,21.0,2.343864114758234,4069.0
6154,21.0,2.1832103503207305,7284.0
6155,19.0,2.127309825107552,6216.0
6156,20.0,2.117560837579921,8236.0
6157,18.0,2.096736313989006,9820.0
6158,21.0,2.1508414253847903,8467.0
6159,17.0,2.3067127142459727,3933.0
6160,20.0,2.3488556956493882,5118.0
6161,19.0,2.552058465389266,1865.0
6162,20.0,2.3911194921680616,3496.0
6163,15.0,2.230682231456252,4430.0
6164,22.0,2.2586125073186714,5017.0
6165,21.0,2.1702151852343006,7781.0
6166,22.0,2.176358898154526,6372.0
6167,19.0,2.40063374480152,2523.0
6168,18.0,2.2229743312775274,4888.0
6169,15.0,2.3986042095915376,1922.0
6170,17.0,2.516778356664221,1806.0
6171,17.0,2.2618454450040537,5116.0
6172,20.0,2.138691307516967,8253.0
6173,18.0,2.143228069732125,6064.0
6174,20.0,2.2568440825426896,6063.0
6175,21.0,2.170584934762426,7916.0
6176,16.0,2.1818332342888986,5527.0
6177,21.0,2.1401697536715223,5995.0
6178,16.0,2.475236186124298,1330.0
6179,20.0,2.254290601620619,3933.0
6180,21.0,2.3337172388967353,3635.0
6181,16.0,2.388466134266703,3527.0
6182,19.0,2.322962836172744,5118.0
6183,14.0,2.5083566807767315,2302.0
6184,17.0,2.5294039573914264,1068.0
6185,20.0,2.436197160425486,2571.0
6186,17.0,2.170246375316663,6840.0
6187,21.0,2.2485087527582333,7059.0
6188,19.0,2.2068249711729977,6891.0
6189,16.0,2.3756626382653496,3746.0
6190,20.0,2.35552434563788,4558.0
6191,20.0,2.1434493023790586,6064.0
6192,18.0,2.526508989450891,1449.0
6193,17.0,2.2251797857070468,4131.0
6194,19.0,2.1288432118323977,8777.0
6195,19.0,2.1878226833814813,4681.0
6196,21.0,2.1908078520056904,8129.0
6197,17.0,2.2401375935259322,6024.0
6198,22.0,2.084073574161205,8658.0
6199,22.0,2.189773226902659,6524.0
6200,19.0,2.135425432459725,9304.0
6201,20.0,2.2607057871145644,5476.0
6202,19.0,2.0661940565379284,9860.0
6203,19.0,2.123699615139584,9950.0
6204,22.0,2.214292073960431,4082.0
6205,18.0,2.2970381936015656,3052.0
6206,18.0,2.288459456705818,3312.0
6207,22.0,2.210582100110651,6368.0
6208,16.0,2.2641304440229293,4005.0
6209,16.0,2.3154008689546393,4131.0
6210,17.0,2.477861342973397,2463.0
6211,16.0,2.299144768808688,4355.0
6212,18.0,2.284908046279368,3660.0
6213,20.0,2.205521080944334,6144.0
6214,21.0,2.1887134027096513,9060.0
6215,18.0,2.595101322132163,1171.0
6216,19.0,2.253911403862205,5030.0
6217,22.0,2.1315581920340056,6885.0
6218,15.0,2.332189668438171,3480.0
6219,17.0,2.3344804891017255,3719.0
6220,20.0,2.2383688380652127,4887.0
6221,22.0,2.1533444596479367,8283.0
6222,15.0,2.5166361625416602,1344.0
6223,20.0,2.3311635208675576,3810.0
6224,16.0,2.3571123231000746,3730.0
6225,17.0,2.191946411224066,5934.0
6226,21.0,2.290369213340405,3161.0
6227,22.0,2.200147223097499,6586.0
6228,14.0,2.4643707435490763,2021.0
6229,16.0,2.39168451339776,3971.0
