id,Delta,R0,i0
6002,19.0,2.574407476480384,1440.0
6003,22.0,2.1393176223317885,7866.0
6004,20.0,2.257600763745416,5128.0
6005,20.0,2.3798080299773274,3712.0
6006,20.0,2.081230635208203,8482.0
6007,12.0,2.7114942456379314,547.0
6008,20.0,2.2070065784230617,6179.0
6009,19.0,2.1830147811653573,6334.0
6010,20.0,2.1369037374469073,8314.0
6011,15.0,2.3539532879333303,2763.0
6012,20.0,2.31804956394665,3591.0
6013,21.0,2.116716447093525,8872.0
6014,19.0,2.147831413749261,9140.0
6015,18.0,2.6153183506197704,1393.0
6016,19.0,2.201189819702744,5773.0
6017,17.0,2.1904118744525176,5767.0
6018,21.0,2.208483049393494,6002.0
6019,18.0,2.068177036971006,9471.0
6020,16.0,2.278937160138205,4390.0
6021,17.0,2.286409681594471,4497.0
6022,17.0,2.3610450939217764,2425.0
6023,20.0,2.19723317027761,5066.0
6024,21.0,2.2430063904742785,5235.0
6025,19.0,2.0847819006233324,9495.0
6026,17.0,2.4208832742347566,2080.0
6027,19.0,2.3057001905662826,4352.0
6028,18.0,2.2981583316440606,3428.0
6029,19.0,2.1935889984753203,5022.0
6030,15.0,2.4443575367166415,1440.0
6031,19.0,2.142650864575401,6232.0
6032,15.0,2.515953754241352,1134.0
6033,16.0,2.3482067902887507,2471.0
6034,18.0,2.2730528135919945,4616.0
6035,14.0,2.592471828443831,1351.0
6036,13.0,2.5991132499323313,1440.0
6037,19.0,2.1777017678846184,8573.0
6038,18.0,2.2422566863589735,4371.0
6039,20.0,2.16419627898662,5028.0
6040,17.0,2.2752287384169954,3017.0
6041,20.0,2.241011981637387,6937.0
6042,18.0,2.2957704989856684,4628.0
6043,14.0,2.428154680790193,1643.0
6044,14.0,2.4663628175975107,1440.0
6045,20.0,2.1658614086685932,5128.0
6046,15.0,2.7758006869568903,885.0
6047,20.0,2.1993442434087305,6644.0
6048,18.0,2.319153437727739,3412.0
6049,15.0,2.4797459566503615,1800.0
6050,20.0,2.2131327459851735,4587.0
6051,21.0,2.293929488772757,3019.0
6052,17.0,2.3756048419262594,2567.0
6053,20.0,2.1633689306042045,7678.0
6054,21.0,2.2138068481820676,4987.0
6055,14.0,2.431068153880147,2432.0
6056,18.0,2.29267326563809,4371.0
6057,19.0,2.3194845543418046,2560.0
6058,19.0,2.14745372737061,7458.0
6059,18.0,2.2202667038458457,3835.0
6060,20.0,2.143093025916878,8604.0
6061,18.0,2.1465918202034766,7265.0
6062,17.0,2.1591976723658632,6866.0
6063,18.0,2.327271464150482,3712.0
6064,19.0,2.301444781288594,5415.0
6065,19.0,2.4031079161155766,3470.0
6066,22.0,2.1315086466925637,8482.0
6067,17.0,2.265893833741627,3290.0
6068,19.0,2.2676925676793838,4563.0
6069,19.0,2.244916063957616,4563.0
6070,21.0,2.1879726720210764,4508.0
6071,21.0,2.119284105191648,8711.0
6072,21.0,2.244469114613398,4911.0
6073,22.0,2.1935380558327595,5424.0
6074,22.0,2.077543133358512,8541.0
6075,17.0,2.2092555919979318,6167.0
6076,20.0,2.2619349046030193,6120.0
6077,19.0,2.4348793563338385,3067.0
6078,21.0,2.213017040190557,6431.0
6079,19.0,2.2148316315999534,5443.0
6080,19.0,2.1191450035413815,8747.0
6081,22.0,2.1642161364845416,7611.0
6082,17.0,2.2740156890489973,3410.0
6083,18.0,2.2514559274854435,3679.0
6084,18.0,2.1686746242743316,6178.0
6085,19.0,2.1709920408728034,5186.0
6086,19.0,2.169588457586702,8944.0
6087,21.0,2.16186736051626,8744.0
