id,Delta,R0,i0
5002,18.0,2.2605671889179373,4194.0
5003,17.0,2.2723364748042783,4942.0
5004,19.0,2.2711455633557547,3496.0
5005,17.0,2.214168647437258,4277.0
5006,20.0,2.343043457947307,3078.0
5007,17.0,2.225965882320814,7105.0
5008,19.0,2.13626818650021,6404.0
5009,20.0,2.417773500326637,4000.0
5010,18.0,2.1582671500230735,8831.0
5011,22.0,2.1307586384917223,5919.0
5012,19.0,2.258681756408499,4046.0
5013,19.0,2.5676375332551875,1631.0
5014,22.0,2.1161212163090655,6811.0
5015,17.0,2.151927248938907,7400.0
5016,19.0,2.0979178590642436,6914.0
5017,16.0,2.3742176430024284,3398.0
5018,22.0,2.144534788076566,6056.0
5019,22.0,2.2727809189612813,4515.0
5020,21.0,2.369116347431194,2827.0
5021,15.0,2.348443012967551,2543.0
5022,20.0,2.1050383259535397,9904.0
5023,18.0,2.2392346672768206,4936.0
5024,16.0,2.7378183463477765,1063.0
5025,22.0,2.2533513837166272,5347.0
5026,22.0,2.1783062242367977,5286.0
5027,18.0,2.5161402129229473,2905.0
5028,19.0,2.1696650336291463,7263.0
5029,22.0,2.1432340119943007,7095.0
5030,22.0,2.101003334132368,7253.0
5031,20.0,2.4037165184111573,2729.0
5032,16.0,2.785400627026472,621.0
5033,17.0,2.299069461913677,2595.0
5034,14.0,2.537858092110643,1556.0
5035,20.0,2.1267086772074943,8074.0
5036,21.0,2.195314630082531,4348.0
5037,20.0,2.287959513942513,2827.0
5038,19.0,2.3069335344416424,2976.0
5039,20.0,2.241591882858934,6587.0
5040,20.0,2.430092166580897,2190.0
5041,17.0,2.425776464104295,1552.0
5042,22.0,2.230077825925242,3987.0
5043,19.0,2.128331661224728,6794.0
5044,19.0,2.3663973278893375,4085.0
5045,18.0,2.240003595970394,4236.0
5046,17.0,2.1777898495243773,5402.0
5047,17.0,2.5093248753942015,1552.0
5048,20.0,2.3522933355883837,3236.0
5049,14.0,2.4073231736816334,1693.0
5050,19.0,2.3528004833264027,4047.0
5051,19.0,2.450764720973308,1428.0
5052,17.0,2.167515045764396,7613.0
5053,18.0,2.4494750993637644,1693.0
5054,16.0,2.2843695172327108,4037.0
5055,20.0,2.328219553919052,4936.0
5056,22.0,2.1598052726137826,8987.0
5057,22.0,2.2206181902196005,6465.0
5058,20.0,2.34454545002289,3196.0
5059,17.0,2.3904521512978723,3191.0
5060,17.0,2.2984666571314474,2690.0
5061,15.0,2.4357047963850906,1396.0
5062,19.0,2.312947038748166,5676.0
5063,20.0,2.1193481124989204,6404.0
5064,17.0,2.2321891715816076,6687.0
5065,18.0,2.1337107347353848,8971.0
5066,22.0,2.1593866207435832,6025.0
5067,17.0,2.2441956095395574,5679.0
5068,14.0,2.396285668617126,2543.0
5069,20.0,2.22734078801917,4500.0
5070,19.0,2.2307277267985484,5319.0
5071,21.0,2.172972175100823,8431.0
