id,Delta,R0,i0
5002,16.0,2.292861001375265,4096.0
5003,19.0,2.345724047148273,2325.0
5004,21.0,2.0966033997669524,6969.0
5005,18.0,2.048158989621136,9204.0
5006,16.0,2.3236497315326226,3183.0
5007,23.0,2.0450495850164985,7753.0
5008,15.0,2.3164431192845183,3089.0
5009,21.0,2.0769155363586793,8596.0
5010,19.0,2.3483117068446138,3353.0
5011,20.0,2.2757460125075992,2718.0
5012,21.0,2.270114585354226,3282.0
5013,15.0,2.4101969993773475,2536.0
5014,17.0,2.105335384651936,8626.0
5015,19.0,2.368388151008199,4125.0
5016,13.0,2.6844546398563187,915.0
5017,23.0,2.1592659605004703,8208.0
5018,20.0,2.2830639873338887,4899.0
5019,21.0,2.0947426843493058,9332.0
5020,20.0,2.4456473985875316,2513.0
5021,22.0,2.1588996367525843,6262.0
5022,18.0,2.451198775712298,2548.0
5023,19.0,2.2310838867089298,7303.0
5024,17.0,2.3295049334986695,3881.0
5025,19.0,2.0991760285525674,7252.0
5026,20.0,2.3510314377351254,3504.0
5027,16.0,2.2255218478738183,3770.0
5028,19.0,2.3408316245728065,5143.0
5029,19.0,2.3004098656509293,5708.0
5030,19.0,2.2519678606030036,4639.0
5031,20.0,2.3061888157401236,3268.0
5032,19.0,2.300824511917491,3469.0
5033,16.0,2.3006035100420705,4663.0
5034,20.0,2.0538754364514125,9252.0
5035,19.0,2.074968144930435,9691.0
5036,20.0,2.032203132914816,9330.0
5037,18.0,2.3168691408346844,3293.0
5038,20.0,2.2832127212401,5507.0
5039,19.0,2.195000104688294,4220.0
5040,15.0,2.7747940934824786,915.0
5041,18.0,2.285052728140586,5033.0
5042,23.0,2.0810935693085715,6521.0
5043,22.0,2.1222399743227474,6606.0
5044,21.0,2.3610943079370132,3168.0
5045,21.0,2.1923211575859614,5846.0
5046,21.0,2.2171863054577106,8053.0
5047,22.0,2.0937746744274897,8890.0
5048,18.0,2.280471014957904,3903.0
5049,16.0,2.2004385035616787,4452.0
5050,18.0,2.1709100477991896,8421.0
5051,18.0,2.3309612763701275,3662.0
5052,18.0,2.245153537039824,4659.0
5053,16.0,2.1545904517371257,6320.0
5054,16.0,2.3660040633626815,3026.0
5055,20.0,2.0729441664903474,8851.0
5056,16.0,2.233576084391886,3554.0
5057,20.0,2.1572893096079513,6470.0
5058,18.0,2.174400428236043,6178.0
5059,19.0,2.053481356302034,8814.0
5060,20.0,2.181311614075668,9186.0
5061,18.0,2.2324843573224955,6782.0
5062,19.0,2.3003653021156194,3288.0
5063,16.0,2.355618859405386,1967.0
5064,15.0,2.6276745685225724,1494.0
5065,18.0,2.04412246864009,9170.0
5066,20.0,2.2274221847394386,6528.0
5067,18.0,2.102578030870495,9525.0
5068,22.0,2.058047592179766,8415.0
5069,18.0,2.305133028563534,3452.0
5070,20.0,2.14633903554003,6437.0
5071,19.0,2.0936911868252572,9057.0
5072,20.0,2.337350829313987,4805.0
5073,20.0,2.1790938495925984,6138.0
5074,16.0,2.846275875112864,536.0
5075,17.0,2.3383573704467295,3719.0
5076,16.0,2.154357898987664,6276.0
5077,22.0,2.129414322092781,6276.0
5078,14.0,2.8377012948839617,403.0
5079,19.0,2.406132934098088,3674.0
5080,16.0,2.337177146510045,4599.0
5081,18.0,2.4350118882152283,3438.0
5082,17.0,2.2577513822789874,3504.0
5083,16.0,2.4157254956987577,2589.0
5084,20.0,2.4391907832150292,2345.0
5085,17.0,2.210674609235135,3587.0
5086,22.0,2.104842277478864,9743.0
5087,15.0,2.3334180954384873,3488.0
5088,17.0,2.2753952788608474,5346.0
5089,19.0,2.254406490551973,7346.0
5090,15.0,2.257479568454381,3902.0
5091,19.0,2.1700674542572416,4246.0
5092,17.0,2.320385395789839,3701.0
5093,20.0,2.284077772094452,3931.0
5094,15.0,2.2876637734942276,3955.0
5095,19.0,2.093915271815538,8296.0
5096,18.0,2.1820905851579675,6178.0
5097,22.0,2.2487707644858275,3363.0
5098,18.0,2.119054584854014,9296.0
5099,15.0,2.2424822747220223,4466.0
5100,23.0,2.140636479803051,9741.0
5101,21.0,2.2807260481776264,3963.0
5102,18.0,2.0922195499040637,7680.0
5103,19.0,2.0882267724277024,7798.0
5104,19.0,2.205164966393558,6895.0
5105,18.0,2.0998941095186936,9525.0
5106,19.0,2.3115879715076524,4226.0
5107,21.0,2.4013929397383427,2957.0
5108,18.0,2.371013570721469,2718.0
5109,9.0,2.953470157824584,375.0
5110,16.0,2.429348133488144,2920.0
5111,20.0,2.1812914941436703,6501.0
5112,18.0,2.402994632284755,3955.0
5113,18.0,2.267968678347664,2759.0
5114,19.0,2.166570593285588,7832.0
5115,20.0,2.2252392636811824,5880.0
5116,18.0,2.2966021473543297,3864.0
5117,19.0,2.346349316621272,4392.0
5118,21.0,2.0705901348935223,8208.0
5119,21.0,2.341300921398487,2589.0
5120,21.0,2.247408546500548,2979.0
5121,18.0,2.307027006342152,4659.0
5122,20.0,2.2728882587781207,3864.0
5123,17.0,2.2471414774065472,3882.0
5124,15.0,2.2241595509574896,4307.0
5125,20.0,2.1391473401506147,9146.0
5126,19.0,2.0638723145409443,9148.0
5127,21.0,2.096003511939904,8282.0
5128,22.0,2.152280513960094,6178.0
5129,19.0,2.1835969280139738,4072.0
5130,21.0,2.119038784279136,9842.0
5131,15.0,2.412566190421494,2547.0
5132,11.0,2.790790977265876,602.0
5133,19.0,2.326092789689557,2548.0
5134,19.0,2.48953374485165,2886.0
5135,18.0,2.1359796217354536,8984.0
5136,17.0,2.240228573298647,3089.0
5137,23.0,2.0524505220832756,9786.0
5138,17.0,2.266149014418304,6004.0
5139,21.0,2.1388285145265895,5926.0
5140,15.0,2.31818014811934,2639.0
5141,16.0,2.2081509417464726,4220.0
5142,19.0,2.1740530618943366,7650.0
5143,20.0,2.1563038186503256,7690.0
5144,18.0,2.2496327854879525,4052.0
5145,21.0,2.129147050428834,9099.0
5146,22.0,2.21126834552748,6470.0
5147,21.0,2.1603057606851706,7198.0
5148,19.0,2.2734112166621543,4009.0
5149,19.0,2.134203549695716,7754.0
5150,16.0,2.250990725964658,5340.0
5151,20.0,2.18626938742081,8208.0
5152,14.0,2.5030937337159043,2345.0
5153,22.0,2.1473115286461932,9451.0
5154,19.0,2.2505389887501472,6437.0
5155,19.0,2.1749511675094686,4972.0
5156,16.0,2.218128614102406,3789.0
5157,19.0,2.158933546773211,7727.0
5158,16.0,2.237232867634917,5525.0
5159,18.0,2.4841364319994974,1612.0
5160,20.0,2.213442275068701,6461.0
5161,21.0,2.289726084009819,4051.0
5162,20.0,2.145921701683038,8346.0
5163,18.0,2.485501025250177,2009.0
5164,15.0,2.5259747395708283,2144.0
5165,23.0,2.1228228233246713,7650.0
5166,15.0,2.349962913759859,2254.0
5167,17.0,2.1070783683921035,7584.0
5168,18.0,2.4458074962362755,1721.0
5169,16.0,2.18784490269068,6437.0
5170,18.0,2.2931689830181883,3290.0
5171,16.0,2.810554046673604,536.0
5172,20.0,2.3067873746281053,4066.0
5173,18.0,2.1557128508597283,6470.0
5174,21.0,2.095984375073979,9818.0
5175,15.0,2.273448978155317,3855.0
5176,16.0,2.3164794774395174,3593.0
5177,17.0,2.271355163113379,5600.0
5178,21.0,2.319875144888688,2757.0
5179,22.0,2.23411092363238,3867.0
5180,17.0,2.247629573770022,3363.0
5181,20.0,2.06988819131445,9019.0
5182,17.0,2.3392408553568504,3106.0
5183,18.0,2.049293514770584,9257.0
5184,16.0,2.2114394177714924,4382.0
5185,19.0,2.0867474975920834,7089.0
5186,14.0,2.2983943041514623,3407.0
5187,18.0,2.0877563495102773,8083.0
5188,17.0,2.2970676967013564,2333.0
5189,22.0,2.2703406500809136,3407.0
5190,19.0,2.141357827896583,8639.0
5191,18.0,2.066581104499138,7823.0
5192,15.0,2.218163707641948,4214.0
5193,19.0,2.395591989482733,4319.0
5194,21.0,2.1715172701364236,8654.0
5195,21.0,2.1461596798972047,9558.0
5196,22.0,2.063746674916569,9647.0
5197,19.0,2.16458576049354,8877.0
5198,18.0,2.205300050841346,4481.0
5199,18.0,2.3657728030312617,2127.0
5200,20.0,2.1479354863464204,6461.0
5201,21.0,2.087121547351016,9019.0
5202,21.0,2.1788855034520225,8189.0
5203,18.0,2.0425045504691934,9754.0
5204,20.0,2.1691988607388977,4219.0
5205,20.0,2.351137979227669,1959.0
5206,21.0,2.2122974128520183,4502.0
5207,22.0,2.1982406170624467,4703.0
5208,22.0,2.0193188163432665,9019.0
5209,21.0,2.271841460463725,3386.0
5210,19.0,2.236063220997433,6437.0
5211,19.0,2.253144390902031,5438.0
5212,13.0,2.4072390797207155,1612.0
5213,21.0,2.147540391077318,5033.0
5214,15.0,2.3760032476336646,2781.0
5215,16.0,2.1463253708222028,6407.0
5216,19.0,2.0423041684581182,8219.0
5217,22.0,2.1576173096944196,6689.0
5218,16.0,2.3445085627504536,1902.0
5219,16.0,2.2035044367019236,4319.0
5220,20.0,2.158960513049108,7252.0
5221,21.0,2.146180648061522,9768.0
5222,18.0,2.6814581252370746,1163.0
5223,19.0,2.1274353035154445,5785.0
5224,17.0,2.2727302426824445,4092.0
5225,18.0,2.3495243189377253,3064.0
5226,18.0,2.123504442179401,8173.0
5227,18.0,2.166727783384452,6470.0
5228,19.0,2.362539358613618,2503.0
5229,17.0,2.76051766777524,915.0
5230,20.0,2.212360854618974,8382.0
5231,13.0,2.901081971098337,403.0
5232,17.0,2.130471326091012,6437.0
