id,Delta,R0,i0
6002,17.0,2.136301565641211,4971.0
6003,18.0,2.2226172687023324,5562.0
6004,15.0,2.2679071171250342,3186.0
6005,18.0,2.289368832537361,3856.0
6006,18.0,2.3780386610576305,1518.0
6007,22.0,1.9934753866068355,7789.0
6008,22.0,2.1474921057137104,4663.0
6009,16.0,2.2391714334373543,3131.0
6010,19.0,2.06681838253657,7613.0
6011,19.0,2.098246245058217,6892.0
6012,18.0,2.2455117842424763,3315.0
6013,18.0,2.234652476670149,4971.0
6014,19.0,2.112545383542575,5143.0
6015,18.0,2.2516030713129713,4663.0
6016,21.0,2.1599222828332674,7925.0
6017,19.0,2.2627549744071223,3972.0
6018,15.0,2.2781244429118566,3422.0
6019,16.0,2.2394801425665265,3337.0
6020,20.0,2.0699982788976516,8785.0
6021,20.0,2.1060917718188565,4660.0
6022,16.0,2.225993155707292,3373.0
6023,16.0,2.2622338794008856,4912.0
6024,19.0,2.1079252186097692,6853.0
6025,18.0,2.0556301791983387,7481.0
6026,20.0,2.2716491461230865,3471.0
6027,20.0,2.0763427616592938,8867.0
6028,18.0,2.143446043659361,7283.0
6029,19.0,2.1267952578218945,6439.0
6030,17.0,2.118090950347191,6763.0
6031,21.0,2.191562884557516,3272.0
6032,20.0,2.0978679238066835,9408.0
6033,19.0,2.0216970638116494,8556.0
6034,19.0,2.196191345057117,4825.0
6035,22.0,2.0278615270872264,7075.0
6036,17.0,2.220281603980765,5709.0
6037,20.0,2.2093042619098764,2923.0
6038,22.0,2.1132887863196372,7907.0
6039,21.0,2.186699363218983,5672.0
6040,20.0,2.1030140767736785,4403.0
6041,22.0,2.184158577456781,3606.0
6042,15.0,2.3168596739360754,1840.0
6043,21.0,1.9885278500642525,8178.0
6044,20.0,2.1095034287473697,8464.0
6045,17.0,2.0497387788014327,7907.0
6046,18.0,2.0442336056243597,7404.0
6047,17.0,2.18918105134804,6650.0
6048,21.0,2.2128002019045065,5167.0
6049,15.0,2.4195545709508,2184.0
6050,19.0,2.204300847233673,3938.0
6051,22.0,2.062691025975292,6221.0
6052,21.0,2.1347478451415878,5347.0
6053,19.0,2.220883734876192,3469.0
6054,18.0,2.028918389886639,7201.0
