id,Delta,R0,i0
6002,21.0,2.141233618038744,6231.0
6003,21.0,2.0399380231159494,8222.0
6004,17.0,2.3336967532761275,3458.0
6005,22.0,2.0222317553236784,7584.0
6006,19.0,2.0493271379379383,8609.0
6007,19.0,2.220032298661068,3948.0
6008,20.0,2.072742482746186,5789.0
6009,16.0,2.1299481501612076,6195.0
6010,14.0,2.468026787758632,1534.0
6011,18.0,2.3059705675455078,3453.0
6012,18.0,2.394354674957094,2923.0
6013,16.0,2.263895374560103,4380.0
6014,20.0,2.1142982330730593,5514.0
6015,18.0,2.108546502643882,5145.0
6016,22.0,2.1363455910704356,6925.0
6017,18.0,2.225228947456246,4125.0
6018,19.0,2.1312781572956445,5832.0
6019,16.0,2.169471091370389,4350.0
6020,16.0,2.5790210109407714,972.0
6021,18.0,2.356110146941364,3542.0
6022,14.0,2.32516406863419,1827.0
6023,20.0,2.147663590566294,6748.0
6024,21.0,2.09137214452244,5113.0
6025,20.0,2.133717464860969,5047.0
6026,17.0,2.1685362572260094,5600.0
6027,18.0,2.021625927410071,8544.0
6028,20.0,2.1055710372369933,8222.0
6029,19.0,2.2516602827015118,3379.0
6030,18.0,2.419312557202323,2688.0
6031,13.0,2.4045569577530497,1646.0
6032,21.0,2.1495622018151668,7781.0
6033,16.0,2.1137090679025112,6669.0
6034,18.0,2.160520559829644,5540.0
6035,16.0,2.3341134106603247,3017.0
6036,20.0,2.225276169360188,5610.0
6037,15.0,2.4817100504576213,1656.0
6038,18.0,2.377435019118489,2702.0
6039,21.0,2.0808943891580753,9611.0
6040,17.0,2.1315258606182006,7160.0
6041,17.0,2.0440936047162306,8410.0
6042,19.0,2.201239893252842,3890.0
6043,18.0,2.3606245785964726,1801.0
6044,22.0,2.093832307383745,8388.0
6045,14.0,2.3841044935338256,2009.0
6046,18.0,2.110853071431877,7944.0
6047,15.0,2.271806725133044,2974.0
6048,20.0,2.0994518148769292,5721.0
6049,18.0,2.2413349315891455,4356.0
6050,18.0,2.240944003026553,4053.0
6051,19.0,2.409615711213889,1949.0
6052,19.0,2.337083557517015,2373.0
6053,15.0,2.4082289268831327,2442.0
6054,19.0,2.024685247597312,7459.0
6055,17.0,2.255439485379526,3462.0
6056,18.0,2.4443428487608916,1827.0
6057,17.0,2.278622473009997,4229.0
6058,18.0,2.1196155264249086,7842.0
6059,16.0,2.346737875991423,2897.0
6060,19.0,2.317604908804424,3786.0
6061,19.0,2.1788649160883726,6233.0
6062,21.0,2.1809452284099073,3568.0
6063,23.0,2.077625967818598,8669.0
6064,17.0,2.2469976918642987,3760.0
6065,19.0,2.109312059060769,8071.0
6066,19.0,2.0671732283759385,8934.0
6067,19.0,2.1574675717830267,5301.0
6068,19.0,2.1297576478741567,5600.0
6069,19.0,2.1124983372230064,6536.0
6070,16.0,2.1851278495176283,5161.0
6071,15.0,2.3061847599254706,2526.0
6072,22.0,2.060876300389603,8432.0
6073,21.0,2.1095057894412057,6670.0
6074,18.0,2.1946160167632898,4511.0
6075,18.0,2.108146117735531,7780.0
6076,15.0,2.379565456217935,2305.0
6077,17.0,2.258030169208222,4281.0
6078,20.0,2.278637511179074,3379.0
6079,19.0,2.2543127004645314,4228.0
6080,17.0,2.125861804697556,7115.0
6081,18.0,2.4323804637612625,1849.0
6082,19.0,2.1410135680782387,6850.0
6083,20.0,2.069434299923861,9404.0
6084,20.0,2.249110754531969,3662.0
6085,15.0,2.480728592178298,1151.0
6086,13.0,2.3797960758155807,1949.0
6087,19.0,2.2484364306136144,5584.0
6088,20.0,2.2104796781872786,6167.0
6089,19.0,2.1761282705108833,4700.0
6090,19.0,2.276720825561,3711.0
6091,19.0,2.104083089628113,8155.0
6092,18.0,2.269167962385446,4380.0
6093,22.0,2.0591125899671088,8787.0
6094,18.0,2.235443768642349,3746.0
6095,17.0,2.199872477858293,5759.0
6096,21.0,2.0500362342960163,7356.0
6097,19.0,2.2033743928448244,6561.0
6098,21.0,2.172141657385548,4082.0
6099,19.0,2.344394854177133,2447.0
6100,18.0,2.157813052850261,6582.0
6101,16.0,2.2473010640457094,4511.0
6102,20.0,2.147958057097982,6917.0
6103,18.0,2.2153332565581674,3370.0
6104,17.0,2.294269137394829,3076.0
6105,20.0,2.2310513835656756,6286.0
6106,19.0,2.325143811552942,2840.0
6107,18.0,2.2418297917733128,3712.0
6108,17.0,2.3596185597068144,3158.0
6109,18.0,2.090761144820423,7781.0
6110,18.0,2.2188121466885407,2808.0
6111,17.0,2.2056269152879606,3542.0
6112,20.0,2.1175905594387796,8971.0
6113,16.0,2.2028067595738765,4404.0
6114,20.0,2.158798840516299,5655.0
6115,22.0,2.0212143195573438,7171.0
6116,19.0,2.3078370348817447,4079.0
6117,18.0,2.30303108798686,3646.0
6118,21.0,2.223375247495601,2974.0
6119,19.0,2.129396908357475,4427.0
6120,18.0,2.297704275319331,4206.0
6121,20.0,2.1434492364920086,8432.0
6122,20.0,2.1929511159203057,4053.0
6123,22.0,2.09634034775069,7941.0
6124,18.0,2.167548430823546,4637.0
6125,17.0,2.181874443641634,5348.0
6126,18.0,2.1275069310755788,8039.0
6127,15.0,2.3048324275320446,2945.0
6128,17.0,2.33616477493124,2688.0
6129,19.0,2.2129307593874206,6286.0
6130,20.0,2.142054383127419,6873.0
6131,20.0,2.146087273316173,6873.0
6132,20.0,2.289575105378576,3457.0
6133,20.0,2.1225378210069312,5782.0
6134,18.0,2.42659439547691,2683.0
6135,20.0,2.2170283083015807,3076.0
6136,19.0,2.192609045750516,4121.0
6137,19.0,2.129860331006129,6669.0
6138,19.0,2.0981234728247635,7781.0
6139,20.0,2.1162584080114666,9149.0
6140,17.0,2.221066357566105,3017.0
6141,17.0,2.1318020064920447,5159.0
6142,20.0,2.1556963170229926,6259.0
6143,19.0,2.239316251674337,4572.0
6144,21.0,2.1633407836390206,4117.0
6145,20.0,2.0755578333606484,6676.0
6146,18.0,2.1029168430777454,8545.0
6147,20.0,2.245483296939034,5645.0
6148,15.0,2.2696633491743157,3539.0
6149,17.0,2.3564021146864085,3175.0
6150,20.0,2.1248441994810117,7257.0
6151,21.0,2.20731933970619,3712.0
6152,18.0,2.1870648644732054,5178.0
6153,20.0,2.031121305382825,7459.0
6154,22.0,2.057952852247045,5822.0
6155,15.0,2.180342389750279,4312.0
6156,19.0,2.047399641456299,7949.0
6157,18.0,2.032277296050254,9391.0
6158,21.0,2.173714148569918,5119.0
6159,19.0,2.2491765443778697,4298.0
6160,19.0,2.1800417336763402,4079.0
6161,20.0,2.3071143976659765,3417.0
6162,18.0,2.265148801261676,4183.0
6163,17.0,2.298308580884965,2206.0
6164,21.0,2.1324637431788376,4281.0
6165,18.0,2.221836249345091,4356.0
6166,17.0,2.1946754903308667,3664.0
6167,22.0,1.9819024835996601,8895.0
6168,16.0,2.2530182543472153,2945.0
6169,18.0,2.115114950412867,5047.0
6170,19.0,2.0516650747940606,9511.0
6171,19.0,2.2154765751947414,5149.0
6172,18.0,2.37337294680374,1706.0
6173,17.0,2.2903422934655837,3379.0
6174,18.0,2.2950409235929965,4301.0
6175,22.0,2.129820179835084,4565.0
6176,17.0,2.2073543652065997,5609.0
6177,15.0,2.2676495892713286,3542.0
6178,18.0,2.244611138055567,2702.0
6179,23.0,1.9922691728880553,8671.0
6180,16.0,2.148275310058569,4489.0
6181,19.0,2.135439634903421,7922.0
6182,17.0,2.2144402155459457,2824.0
6183,18.0,2.466236307668796,1429.0
6184,21.0,2.043538309367261,7722.0
6185,17.0,2.3011079493646776,4229.0
6186,19.0,2.192044060219574,4450.0
6187,16.0,2.2002002104514653,5606.0
6188,20.0,2.090995796550249,6638.0
6189,21.0,2.1746944504424723,4997.0
6190,19.0,2.136139048159146,6878.0
6191,16.0,2.1802290654062455,3725.0
6192,23.0,1.9884252944869116,8432.0
6193,17.0,2.168417042999172,5771.0
6194,18.0,2.347049945612667,2688.0
6195,22.0,2.1508697399097976,4229.0
6196,17.0,2.1326377613041103,4560.0
6197,17.0,2.2134176358848023,5197.0
6198,21.0,2.096744100802257,7805.0
6199,18.0,2.180017020583889,6330.0
6200,18.0,2.152976121355354,4427.0
6201,19.0,2.1970826317159777,6587.0
6202,18.0,2.3045636074670894,2419.0
6203,20.0,2.2469122883190535,5645.0
6204,15.0,2.314037560673925,3661.0
6205,19.0,2.1543964587669135,6139.0
6206,18.0,2.1562238452934808,5149.0
6207,15.0,2.3829091902884803,2274.0
6208,22.0,1.9796782075101138,9728.0
6209,19.0,2.064587786551811,6850.0
6210,18.0,2.227611865734839,4057.0
6211,19.0,2.0442495345196785,7916.0
