department_code,department_name,census,CDR,gravity,radiation,report_week,cases_confirmed,cases_suspected,cases_total,incidence,population,r_en,r_se
05,Antioquia,345311.5,993058.0,132088.5,294297.0,2016-40,335.0,2161.0,2496.0,34.26789780313395,7283785,0.78584392,0.1836346725
08,Atlantico,2698590.5,3380312.5,2338478.0,2643476.0,2016-40,359.0,6406.0,6765.0,254.6931878890283,2656137,1.0,0.2947347229
11,Bogota,0.0,0.0,0.0,0.0,2016-40,0.0,39.0,39.0,0.4963422755969757,7857481,2.65e-06,5.966e-07
13,Bolivar,2440798.5,2924236.0,2349589.0,2465460.0,2016-40,242.0,1678.0,1920.0,67.1081122173464,2861055,1.0,0.299659798
15,Boyaca,913.0,6281.0,349.0,1921.0,2016-40,88.0,276.0,364.0,25.269986198699847,1440444,0.14799058,0.0391315651
17,Caldas,4968.0,25459.0,4832.0,3467.0,2016-40,74.0,229.0,303.0,28.270938221935264,1071772,0.55677795,0.1514997975
18,Caqueta,13617.5,26803.5,23553.0,36605.0,2016-40,234.0,893.0,1127.0,191.5757659205921,588279,0.69551116,0.2077290686
19,Cauca,297.0,1655.0,316.0,431.0,2016-40,34.0,290.0,324.0,18.974609746741667,1707545,0.30773835,0.0903249147
20,Cesar,717205.5,802092.0,669490.0,700658.0,2016-40,245.0,1366.0,1611.0,137.18811206676318,1174300,0.93029388,0.2879763486
23,Cordoba,1791028.5,2492642.0,1728525.5,1841782.0,2016-40,253.0,2967.0,3220.0,150.00326094045522,2146620,0.99050418,0.3190240741
25,Cundinamarca,756.0,5408.0,309.0,3308.0,2016-40,317.0,4950.0,5267.0,117.36539969079888,4487694,0.12481623,0.029289033
27,Choco,2504.0,12875.0,6248.0,2524.0,2016-40,5.0,52.0,57.0,9.74285694751164,585044,0.6997704,0.2027172789
41,Huila,4055.0,21056.0,3104.0,1876.0,2016-40,915.0,5982.0,6897.0,515.2444217339465,1338588,0.53415828,0.1485486893
44,La Guajira,927282.0,1055421.5,898964.5,927238.0,2016-40,95.0,626.0,721.0,58.59582937479632,1230463,0.9703084,0.2230819717
47,Magdalena,347328.0,715859.5,176001.5,362344.0,2016-40,295.0,2956.0,3251.0,157.52129032758225,2063848,0.74845975,0.2247181114
50,Meta,60658.0,256508.5,9493.0,8050.0,2016-40,580.0,3693.0,4273.0,347.40232815658067,1229986,0.59918969,0.1477393015
52,Narino,108.0,613.0,171.0,139.0,2016-40,20.0,60.0,80.0,4.157312713062277,1924320,0.34117462,0.1286852586
54,Norte De Santander,911277.0,985861.0,917538.5,923334.0,2016-40,1521.0,8892.0,10413.0,691.999441775155,1504770,0.8874374,0.2658835415
63,Quindio,25.0,147.0,31.0,25.0,2016-40,24.0,370.0,394.0,59.5029540045186,662152,0.11609068,0.0328261955
66,Risaralda,918.0,5917.0,1035.0,756.0,2016-40,130.0,1167.0,1297.0,124.5027569153266,1041744,0.45053609,0.1233873087
68,Santander,2043596.0,2069618.0,1940365.0,2199252.0,2016-40,443.0,9734.0,10177.0,407.55765757467753,2497070,0.82589577,0.2170663962
70,Sucre,906585.5,1261258.0,868884.5,945904.0,2016-40,107.0,1520.0,1627.0,160.4095125700128,1014279,1.0,0.3492825481
73,Tolima,43793.0,77926.0,37750.5,24126.0,2016-40,822.0,6251.0,7073.0,423.3070858601788,1670891,0.67427187,0.1745809202
76,Valle Del Cauca,6226.0,28916.0,3094.0,4820.0,2016-40,895.0,25698.0,26593.0,526.5262886955145,5050650,0.45144428,0.1121697613
81,Arauca,7780.0,40836.0,4245.0,15439.0,2016-40,191.0,1657.0,1848.0,484.05347638405766,381776,0.55488787,0.0078467001
85,Casanare,706733.5,1280053.0,542749.5,670003.0,2016-40,280.0,3632.0,3912.0,669.820576436082,584037,0.98937489,0.2282698127
86,Putumayo,1960.0,2618.0,1290.0,626.0,2016-40,110.0,417.0,527.0,112.38926351976728,468906,0.64915277,0.2351795691
88,San Andres,72179.0,76988.5,64713.5,75556.0,2016-40,66.0,1076.0,1142.0,727.3375750743578,157011,0.86712099,0.3987727935
91,Amazonas,75836.5,235794.0,63734.0,73144.0,2016-40,28.0,302.0,330.0,293.4663714217112,112449,1.0,0.3250505179
94,Guainia,76039.0,89911.5,71938.0,71219.0,2016-40,3.0,11.0,14.0,17.7725870539398,78773,1.0,0.3175059359
95,Guaviare,42853.0,70798.0,52305.5,69214.0,2016-40,15.0,196.0,211.0,143.64490435019403,146890,0.86712099,0.2172881253
97,Vaupes,73630.0,101133.5,70188.0,72919.0,2016-40,0.0,14.0,14.0,18.276046630027544,76603,1.0,0.3231125794
99,Vichada,112086.5,109744.5,79126.0,74834.0,2016-40,5.0,71.0,76.0,87.24000183663162,87116,1.0,0.1872495639
