date,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,total
2020-03-15,0,0,0,0,0,1,0,0,0,0,1,0,2,5,7,21,37
2020-03-22,0,0,0,0,0,0,3,1,2,1,9,10,7,19,21,162,235
2020-03-29,0,0,1,2,1,1,3,6,6,11,22,35,31,56,90,511,776
2020-04-05,0,0,0,2,4,1,4,6,9,21,32,56,71,113,147,858,1324
2020-04-12,0,0,1,2,0,1,4,7,10,27,56,71,91,130,155,802,1357
2020-04-19,0,0,0,0,0,5,4,2,11,15,33,62,56,110,104,540,942
2020-04-26,0,0,1,0,0,2,1,2,7,11,25,42,35,57,63,340,586
2020-05-03,0,0,0,0,1,0,2,2,2,6,8,15,24,39,27,221,347
2020-05-10,0,0,0,0,1,2,2,1,1,3,4,6,9,23,22,150,224
2020-05-17,0,0,0,0,0,0,0,0,0,1,2,7,3,5,11,80,109
2020-05-24,0,0,0,0,0,0,0,0,1,1,1,0,5,1,8,64,81
2020-05-31,0,0,0,0,0,0,0,0,0,0,4,1,1,3,2,43,54
2020-06-07,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,27,34
2020-06-14,0,0,0,0,1,1,0,0,1,0,0,0,0,2,5,19,29
2020-06-21,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,8,11
2020-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,9
2020-07-05,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,7,10
2020-07-12,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,5,13
2020-07-19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,4
2020-07-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
2020-08-02,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,2,7
2020-08-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2020-08-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
2020-08-23,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,5
2020-08-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2020-09-06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,5
2020-09-13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5
2020-09-20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,10,15
2020-09-27,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,17,24
2020-10-04,0,0,0,0,0,0,0,0,1,1,0,0,0,2,5,23,32
2020-10-11,0,0,0,0,0,0,1,0,0,0,2,1,0,5,3,31,43
2020-10-18,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,32,44
2020-10-25,0,0,0,0,0,0,0,2,0,2,0,3,1,12,6,53,79
2020-11-01,0,0,0,0,0,0,1,0,1,1,1,6,5,14,8,61,98
2020-11-08,0,0,0,0,1,0,1,0,2,0,0,2,3,9,10,94,122
2020-11-15,0,0,0,0,2,0,0,0,1,0,1,2,4,12,18,88,128
2020-11-22,0,0,0,0,0,0,2,2,2,0,3,4,9,13,16,134,185
2020-11-29,0,0,0,0,0,0,1,3,4,1,6,2,14,15,17,156,219
2020-12-06,0,0,0,1,0,0,0,0,0,0,0,7,14,17,22,137,198
2020-12-13,0,0,0,0,0,0,1,0,2,2,2,8,3,15,14,178,225
2020-12-20,0,0,0,0,0,1,0,2,3,3,5,10,11,30,34,217,316
2020-12-27,0,0,0,0,2,1,2,3,5,6,9,22,31,39,65,377,562
2021-01-03,0,0,0,1,0,1,6,6,8,10,22,43,37,79,97,580,890
2021-01-10,0,1,0,1,2,2,4,7,7,16,34,47,72,114,140,788,1235
2021-01-17,0,0,0,0,0,0,6,9,12,18,37,62,61,119,150,893,1367
2021-01-24,0,0,0,0,1,0,4,2,14,14,43,48,66,120,126,814,1252
2021-01-31,0,0,0,1,0,0,5,3,9,10,20,36,56,80,71,554,845
2021-02-07,0,0,0,1,0,2,1,2,6,13,23,21,39,54,68,370,600
2021-02-14,0,0,0,0,0,0,2,1,2,10,6,17,19,49,30,215,351
2021-02-21,0,0,0,1,0,0,1,1,4,4,9,18,11,24,28,164,265
2021-02-28,0,0,0,0,0,0,0,0,1,0,4,2,10,13,15,73,118
2021-03-07,0,0,0,0,0,0,0,0,3,1,3,5,7,9,9,53,90
2021-03-14,0,0,0,0,0,0,0,0,0,3,5,4,1,13,3,20,49
2021-03-21,0,0,0,0,0,0,0,0,0,3,0,1,3,1,2,20,30
2021-03-28,0,0,0,0,0,0,0,1,0,1,1,2,4,2,3,13,27
2021-04-04,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,10,15
2021-04-11,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,5,13
2021-04-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,9
2021-04-25,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,6,10
2021-05-02,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,6,13
2021-05-09,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,8
2021-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,7
2021-05-23,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,4
2021-05-30,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,6,9
2021-06-06,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,7
2021-06-13,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,5,10
2021-06-20,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,12
