date,total
2020-03-01,0
2020-03-08,0
2020-03-15,8
2020-03-22,224
2020-03-29,1516
2020-04-05,4271
2020-04-12,5422
2020-04-19,4056
2020-04-26,2710
2020-05-03,1806
2020-05-10,1084
2020-05-17,693
2020-05-24,463
2020-05-31,336
2020-06-07,263
2020-06-14,207
2020-06-21,131
2020-06-28,118
2020-07-05,85
2020-07-12,60
2020-07-19,76
2020-07-26,56
2020-08-02,39
2020-08-09,29
2020-08-16,31
2020-08-23,29
2020-08-30,35
2020-09-06,27
2020-09-13,21
2020-09-20,32
2020-09-27,29
2020-10-04,42
2020-10-11,27
2020-10-18,46
2020-10-25,39
2020-11-01,50
2020-11-08,77
2020-11-15,69
2020-11-22,72
2020-11-29,99
2020-12-06,166
2020-12-13,198
2020-12-20,253
2020-12-27,313
2021-01-03,331
2021-01-10,453
2021-01-17,480
2021-01-24,562
2021-01-31,592
2021-02-07,571
2021-02-14,590
2021-02-21,509
2021-02-28,531
2021-03-07,429
2021-03-14,448
2021-03-21,370
2021-03-28,407
2021-04-04,373
2021-04-11,369
2021-04-18,267
2021-04-25,259
2021-05-02,230
2021-05-09,192
2021-05-16,148
2021-05-23,98
2021-05-30,59
2021-06-06,64
2021-06-13,50
2021-06-20,55
2021-06-27,30
2021-07-04,34
2021-07-11,17
2021-07-18,30
2021-07-25,23
2021-08-01,46
2021-08-08,53
2021-08-15,58
2021-08-22,84
2021-08-29,85
2021-09-05,88
2021-09-12,104
2021-09-19,83
2021-09-26,97
2021-10-03,86
2021-10-10,90
2021-10-17,56
2021-10-24,80
2021-10-31,54
2021-11-07,50
2021-11-14,61
2021-11-21,58
2021-11-28,65
2021-12-05,87
2021-12-12,87
2021-12-19,132
2021-12-26,196
2022-01-02,358
2022-01-09,695
2022-01-16,900
2022-01-23,772
2022-01-30,691
2022-02-06,493
2022-02-13,312
2022-02-20,203
2022-02-27,120
2022-03-06,89
2022-03-13,64
2022-03-20,57
2022-03-27,32
2022-04-03,28
2022-04-10,31
2022-04-17,31
2022-04-24,27
2022-05-01,33
2022-05-08,40
2022-05-15,62
2022-05-22,57
2022-05-29,72
2022-06-05,68
2022-06-12,90
2022-06-19,49
2022-06-26,75
2022-07-03,76
2022-07-10,65
2022-07-17,87
2022-07-24,114
2022-07-31,105
2022-08-07,102
2022-08-14,100
2022-08-21,105
2022-08-28,100
2022-09-04,82
2022-09-11,73
2022-09-18,87
2022-09-25,60
2022-10-02,65
2022-10-09,81
2022-10-16,83
2022-10-23,97
2022-10-30,109
2022-11-06,101
2022-11-13,115
2022-11-20,119
2022-11-27,108
2022-12-04,129
2022-12-11,154
2022-12-18,170
2022-12-25,178
2023-01-01,210
2023-01-08,184
2023-01-15,152
2023-01-22,141
2023-01-29,138
2023-02-05,128
2023-02-12,93
2023-02-19,85
2023-02-26,59
2023-03-05,48
2023-03-12,53
2023-03-19,33
2023-03-26,35
2023-04-02,34
2023-04-09,15
2023-04-16,16
2023-04-23,13
2023-04-30,14
2023-05-07,7
2023-05-14,7
2023-05-21,3
2023-05-28,8
2023-06-04,8
2023-06-11,8
2023-06-18,4
2023-06-25,4
2023-07-02,12
2023-07-09,11
2023-07-16,6
2023-07-23,3
2023-07-30,11
2023-08-06,5
2023-08-13,11
2023-08-20,18
2023-08-27,22
2023-09-03,19
2023-09-10,20
2023-09-17,31
2023-09-24,33
2023-10-01,29
2023-10-08,28
2023-10-15,30
2023-10-22,23
2023-10-29,25
2023-11-05,18
2023-11-12,21
2023-11-19,14
2023-11-26,19
2023-12-03,27
2023-12-10,20
2023-12-17,30
2023-12-24,38
2023-12-31,33
2024-01-07,75
2024-01-14,61
2024-01-21,84
2024-01-28,64
2024-02-04,54
2024-02-11,30
2024-02-18,32
2024-02-25,26
2024-03-03,29
2024-03-10,17
2024-03-17,19
2024-03-24,16
2024-03-31,8
2024-04-07,13
2024-04-14,12
2024-04-21,8
2024-04-28,4
2024-05-05,3
2024-05-12,8
2024-05-19,3
2024-05-26,4
2024-06-02,8
2024-06-09,4
2024-06-16,14
2024-06-23,9
2024-06-30,6
2024-07-07,11
2024-07-14,21
2024-07-21,11
2024-07-28,22
2024-08-04,19
2024-08-11,24
2024-08-18,11
2024-08-25,14
2024-09-01,13
2024-09-08,20
2024-09-15,12
2024-09-22,14
2024-09-29,5
2024-10-06,9
2024-10-13,9
2024-10-20,9
2024-10-27,6
2024-11-03,4
2024-11-10,5
2024-11-17,5
2024-11-24,5
2024-12-01,3
2024-12-08,3
2024-12-15,0
2024-12-22,0
