date,total
2020-03-01,0
2020-03-08,0
2020-03-15,3
2020-03-22,60
2020-03-29,489
2020-04-05,1302
2020-04-12,1658
2020-04-19,1287
2020-04-26,855
2020-05-03,576
2020-05-10,342
2020-05-17,193
2020-05-24,134
2020-05-31,99
2020-06-07,81
2020-06-14,60
2020-06-21,45
2020-06-28,33
2020-07-05,20
2020-07-12,16
2020-07-19,27
2020-07-26,19
2020-08-02,9
2020-08-09,11
2020-08-16,6
2020-08-23,8
2020-08-30,7
2020-09-06,6
2020-09-13,7
2020-09-20,10
2020-09-27,2
2020-10-04,15
2020-10-11,8
2020-10-18,10
2020-10-25,8
2020-11-01,10
2020-11-08,17
2020-11-15,12
2020-11-22,20
2020-11-29,19
2020-12-06,49
2020-12-13,53
2020-12-20,69
2020-12-27,84
2021-01-03,78
2021-01-10,134
2021-01-17,178
2021-01-24,162
2021-01-31,180
2021-02-07,169
2021-02-14,169
2021-02-21,148
2021-02-28,151
2021-03-07,127
2021-03-14,123
2021-03-21,107
2021-03-28,112
2021-04-04,115
2021-04-11,109
2021-04-18,74
2021-04-25,89
2021-05-02,72
2021-05-09,52
2021-05-16,43
2021-05-23,24
2021-05-30,17
2021-06-06,19
2021-06-13,19
2021-06-20,10
2021-06-27,10
2021-07-04,13
2021-07-11,2
2021-07-18,13
2021-07-25,6
2021-08-01,13
2021-08-08,10
2021-08-15,14
2021-08-22,22
2021-08-29,20
2021-09-05,24
2021-09-12,33
2021-09-19,24
2021-09-26,30
2021-10-03,32
2021-10-10,25
2021-10-17,26
2021-10-24,26
2021-10-31,20
2021-11-07,14
2021-11-14,12
2021-11-21,22
2021-11-28,21
2021-12-05,21
2021-12-12,25
2021-12-19,33
2021-12-26,57
2022-01-02,98
2022-01-09,206
2022-01-16,228
2022-01-23,215
2022-01-30,182
2022-02-06,124
2022-02-13,76
2022-02-20,56
2022-02-27,42
2022-03-06,23
2022-03-13,20
2022-03-20,14
2022-03-27,5
2022-04-03,7
2022-04-10,9
2022-04-17,9
2022-04-24,9
2022-05-01,11
2022-05-08,9
2022-05-15,17
2022-05-22,17
2022-05-29,18
2022-06-05,17
2022-06-12,27
2022-06-19,10
2022-06-26,26
2022-07-03,18
2022-07-10,17
2022-07-17,34
2022-07-24,35
2022-07-31,31
2022-08-07,34
2022-08-14,32
2022-08-21,30
2022-08-28,27
2022-09-04,16
2022-09-11,20
2022-09-18,29
2022-09-25,22
2022-10-02,25
2022-10-09,24
2022-10-16,24
2022-10-23,26
2022-10-30,35
2022-11-06,40
2022-11-13,37
2022-11-20,38
2022-11-27,31
2022-12-04,39
2022-12-11,43
2022-12-18,60
2022-12-25,47
2023-01-01,62
2023-01-08,52
2023-01-15,46
2023-01-22,42
2023-01-29,43
2023-02-05,32
2023-02-12,26
2023-02-19,26
2023-02-26,16
2023-03-05,10
2023-03-12,17
2023-03-19,6
2023-03-26,7
2023-04-02,8
2023-04-09,5
2023-04-16,6
2023-04-23,3
2023-04-30,3
2023-05-07,2
2023-05-14,5
2023-05-21,0
2023-05-28,4
2023-06-04,2
2023-06-11,4
2023-06-18,3
2023-06-25,3
2023-07-02,6
2023-07-09,5
2023-07-16,3
2023-07-23,0
2023-07-30,2
2023-08-06,2
2023-08-13,3
2023-08-20,9
2023-08-27,7
2023-09-03,5
2023-09-10,6
2023-09-17,8
2023-09-24,11
2023-10-01,10
2023-10-08,6
2023-10-15,13
2023-10-22,13
2023-10-29,10
2023-11-05,4
2023-11-12,8
2023-11-19,5
2023-11-26,5
2023-12-03,7
2023-12-10,8
2023-12-17,11
2023-12-24,11
2023-12-31,12
2024-01-07,18
2024-01-14,17
2024-01-21,26
2024-01-28,20
2024-02-04,16
2024-02-11,11
2024-02-18,8
2024-02-25,9
2024-03-03,11
2024-03-10,6
2024-03-17,8
2024-03-24,3
2024-03-31,0
2024-04-07,3
2024-04-14,6
2024-04-21,3
2024-04-28,1
2024-05-05,0
2024-05-12,3
2024-05-19,2
2024-05-26,1
2024-06-02,2
2024-06-09,2
2024-06-16,5
2024-06-23,1
2024-06-30,1
2024-07-07,3
2024-07-14,3
2024-07-21,1
2024-07-28,9
2024-08-04,8
2024-08-11,8
2024-08-18,3
2024-08-25,3
2024-09-01,5
2024-09-08,8
2024-09-15,1
2024-09-22,5
2024-09-29,4
2024-10-06,3
2024-10-13,4
2024-10-20,2
2024-10-27,0
2024-11-03,0
2024-11-10,0
2024-11-17,1
2024-11-24,3
2024-12-01,3
2024-12-08,3
2024-12-15,3
2024-12-22,3
2024-12-29,1
2025-01-05,5
2025-01-12,4
2025-01-19,5
2025-01-26,2
2025-02-02,7
2025-02-09,6
2025-02-16,4
2025-02-23,6
2025-03-02,8
2025-03-09,4
2025-03-16,8
2025-03-23,6
2025-03-30,1
2025-04-06,5
2025-04-13,3
2025-04-20,3
2025-04-27,1
2025-05-04,3
2025-05-11,2
2025-05-18,3
2025-05-25,2
2025-06-01,2
2025-06-08,3
2025-06-15,3
2025-06-22,3
2025-06-29,3
2025-07-06,2
2025-07-13,1
2025-07-20,1
2025-07-27,1
2025-08-03,3
2025-08-10,1
2025-08-17,3
2025-08-24,2
2025-08-31,1
2025-09-07,1
2025-09-14,2
2025-09-21,0
2025-09-28,1
2025-10-05,4
2025-10-12,1
2025-10-19,0
